 Iteration,Theta,Accuracy (cm),Time (sec),Performance,XTrunkComp (cm),YTrunkComp (cm),ZTrunkComp (cm),XShoulerComp (cm),YShoulerComp (cm),ZShoulerComp (cm),FilterOut,du_hat,ddu_hat
 0.00,1.00,0.73,3.14,63.58,10.67,-10.72,1.23,3.64,0.41,1.29,0.00,0.00,0.00
 1.00,1.00,0.35,2.63,71.70,11.52,-11.22,1.43,3.27,0.33,1.56,4.98,0.00,0.00
 2.00,1.03,0.40,2.98,48.84,9.42,-12.71,0.95,2.99,0.27,1.31,10.46,17.47,-974.41
 3.00,1.06,0.08,3.22,64.35,11.07,-10.47,1.32,2.47,0.19,1.46,4.84,51.31,192.87
 4.00,1.09,0.23,2.37,33.72,7.66,-9.87,0.63,2.97,0.27,1.53,-4.68,21.35,-625.79
 5.00,1.09,0.10,2.37,43.46,9.12,-9.07,0.89,1.94,0.11,1.10,-9.83,-3.92,-34.83
 6.00,1.05,0.25,4.67,38.51,8.21,-11.22,0.72,3.10,0.29,1.01,-7.26,4.57,556.55
 7.00,0.99,0.10,2.43,63.41,10.87,-10.47,1.27,2.94,0.26,1.55,1.59,-3.65,168.30
 8.00,0.95,0.26,2.32,79.84,12.51,-12.31,1.70,1.78,0.10,2.03,9.23,-37.69,708.69
 9.00,0.98,0.24,2.56,66.99,11.27,-15.79,1.37,2.63,0.21,2.01,10.89,-53.90,-261.00
 10.00,1.05,0.28,2.09,40.83,8.67,-10.42,0.81,2.56,0.20,1.37,3.10,-39.00,-733.29
 11.00,1.14,0.19,2.35,37.64,8.41,-11.02,0.76,2.12,0.14,1.55,-9.21,-56.55,-902.33
 12.00,1.25,0.08,1.76,34.99,8.11,-9.67,0.71,2.05,0.13,1.35,-13.89,-101.90,-1747.80
 13.00,1.31,0.21,1.75,36.40,8.41,-11.52,0.76,1.42,0.06,1.76,-6.22,-104.17,-288.72
 14.00,1.33,0.32,1.93,33.01,8.01,-8.82,0.69,1.37,0.06,1.06,5.56,-92.20,-588.23
 15.00,1.34,0.55,1.83,23.07,6.54,-8.01,0.46,1.83,0.10,1.40,10.51,-111.26,321.34
 16.00,1.37,0.43,2.77,51.66,10.07,-9.77,1.09,1.37,0.06,1.69,4.51,-113.51,563.64
 17.00,1.42,0.08,1.90,22.83,6.44,-9.12,0.44,2.05,0.13,1.38,-3.01,-83.23,577.16
 18.00,1.50,0.71,1.74,18.93,5.98,-5.98,0.38,1.44,0.06,1.87,-6.76,-62.58,483.93
 19.00,1.60,0.08,2.54,12.93,4.61,-4.91,0.23,2.15,0.14,1.26,-6.61,-59.45,-283.75
 20.00,1.68,3.42,1.61,17.47,5.78,-7.30,0.36,1.24,0.05,2.06,-1.51,-52.90,-571.80
 21.00,1.70,0.14,2.85,14.64,4.96,-4.35,0.26,2.15,0.14,1.31,3.99,-32.38,-572.28
 22.00,1.67,0.21,2.30,17.57,5.47,-3.99,0.32,2.28,0.16,1.35,5.29,-23.00,-709.57
 23.00,1.62,0.21,2.98,20.67,6.08,-4.20,0.40,2.08,0.13,1.19,1.80,-25.87,-74.08
 24.00,1.59,0.34,2.18,14.47,5.17,-3.18,0.28,1.49,0.07,1.89,-2.24,-9.90,-186.38
 25.00,1.59,1.25,2.49,8.20,4.05,-2.66,0.17,-0.16,0.00,2.62,-3.94,2.51,5.67
 26.00,1.63,0.05,2.95,8.66,3.84,-0.97,0.16,1.60,0.08,1.33,-2.93,4.27,177.50
 27.00,1.69,0.10,1.98,8.49,3.59,-3.43,0.14,2.03,0.13,1.58,0.01,4.22,-16.47
 28.00,1.72,0.28,2.92,2.63,1.59,-1.74,0.03,1.65,0.08,1.67,2.51,11.66,109.99
 29.00,1.71,0.81,2.23,6.31,3.28,-1.64,0.11,1.37,0.06,1.89,1.96,16.52,-87.39
 30.00,1.66,0.08,2.56,25.87,7.05,-2.56,0.53,1.44,0.06,1.80,-0.38,16.39,-5.10
 31.00,1.59,1.62,2.18,3.90,2.77,-1.85,0.08,0.38,0.00,2.58,-0.20,19.31,-36.04
 32.00,1.54,0.37,3.32,7.95,3.64,-2.92,0.14,1.64,0.08,1.65,-0.07,8.62,253.22
 33.00,1.54,0.27,2.76,12.17,4.76,-4.05,0.24,1.29,0.05,1.56,-1.30,7.71,377.02
 34.00,1.59,0.28,2.80,3.18,2.15,-0.87,0.05,1.31,0.05,1.72,-0.56,2.83,510.58
 35.00,1.65,0.14,2.87,3.84,2.61,-0.92,0.07,0.92,0.03,1.78,0.18,3.64,437.17
 36.00,1.69,0.21,2.83,5.37,3.23,0.21,0.11,0.58,0.01,1.74,-0.01,1.43,246.80
 37.00,1.69,0.14,6.83,19.99,6.24,-2.87,0.42,1.04,0.03,1.90,0.02,2.20,50.60
 38.00,1.64,0.21,2.66,3.52,2.10,-0.46,0.05,1.62,0.08,1.94,1.29,2.48,-16.52
 39.00,1.58,0.38,2.15,10.09,4.30,-2.46,0.20,1.29,0.05,1.78,1.09,-7.88,226.86
 40.00,1.54,0.30,2.64,9.57,4.25,-1.74,0.19,1.04,0.03,1.78,-0.79,-6.03,68.94
 41.00,1.54,0.26,2.82,19.39,6.03,-1.95,0.39,1.55,0.07,2.15,-1.22,-1.29,145.73
 42.00,1.58,0.37,2.22,11.70,4.20,-3.28,0.19,2.40,0.18,1.78,0.21,-0.36,43.17
 43.00,1.64,0.28,2.57,16.65,5.52,-1.28,0.33,1.67,0.08,2.14,1.40,6.75,90.48
 44.00,1.68,0.22,1.94,9.20,3.94,-1.85,0.17,1.69,0.09,1.98,0.97,12.82,123.08
 45.00,1.67,0.21,2.02,6.57,3.28,-1.28,0.11,1.55,0.07,1.92,-0.43,10.68,93.89
 46.00,1.63,0.27,1.90,11.54,4.50,-0.67,0.22,1.67,0.08,1.99,-2.03,11.05,165.30
 47.00,1.56,0.43,3.07,15.91,5.27,-3.02,0.30,2.01,0.12,2.08,-1.43,17.51,-148.69
 48.00,1.51,0.37,2.47,14.41,5.27,-2.20,0.30,1.03,0.03,2.21,1.04,10.55,-1.44
 49.00,1.51,0.19,2.70,13.38,5.12,-1.95,0.28,0.76,0.02,2.06,2.45,3.04,-165.40
 50.00,1.55,0.10,2.20,6.22,3.43,-2.15,0.13,0.81,0.02,1.87,1.31,2.94,-200.21
 51.00,1.61,0.13,2.21,2.32,1.95,-1.54,0.04,0.92,0.03,2.35,-1.43,-2.59,-141.08
 52.00,1.66,0.14,2.44,1.40,1.44,-0.51,0.02,0.86,0.02,2.06,-3.37,-16.05,-331.05
 53.00,1.67,0.78,2.42,2.88,2.20,-1.08,0.05,0.95,0.03,1.60,-2.45,-19.99,57.51
 54.00,1.64,0.13,2.45,4.43,2.82,-1.28,0.08,0.95,0.03,1.90,0.50,-18.09,5.89
 55.00,1.60,0.20,2.38,1.42,1.44,-2.72,0.02,0.88,0.02,2.10,2.79,-24.14,157.60
 56.00,1.58,0.30,2.73,8.02,3.79,-2.46,0.15,1.29,0.05,1.49,2.18,-30.52,286.26
