Iteration,IMUNo,OrientationX (deg),OrientationY,OrientationZ,GyroX (20rad/sec),GyroY,GyroZ,Elbow_Pos (rad),Time (sec)
26.00,0.00,263.62,4.56,-99.75,0.31,0.31,-0.12,0.00,1.00
26.00,1.00,273.75,-6.69,-44.12,0.00,0.88,0.38,0.00,1.02
26.00,2.00,304.88,-13.25,21.44,0.31,0.06,0.38,0.00,1.02
26.00,0.00,263.62,4.56,-99.75,0.50,0.12,0.00,-0.02,1.02
26.00,1.00,273.75,-6.69,-44.12,0.31,1.00,0.25,-0.02,1.02
26.00,2.00,304.88,-13.25,21.44,1.00,0.31,0.31,-0.02,1.04
26.00,0.00,263.62,4.56,-99.75,0.44,0.31,0.00,-0.03,1.04
26.00,1.00,273.75,-6.69,-44.12,0.31,1.00,0.12,-0.03,1.04
26.00,2.00,304.81,-13.31,21.38,0.81,0.19,0.75,-0.03,1.04
26.00,0.00,263.62,4.56,-99.75,-0.12,0.19,0.06,-0.03,1.06
26.00,1.00,273.75,-6.75,-44.12,0.38,0.81,0.44,-0.03,1.06
26.00,2.00,304.81,-13.31,21.38,-0.19,-0.56,1.12,-0.03,1.06
26.00,0.00,263.62,4.56,-99.75,-0.31,-0.06,0.06,-0.02,1.08
26.00,1.00,273.69,-6.75,-44.12,0.38,1.19,0.75,-0.02,1.08
26.00,2.00,304.81,-13.31,21.38,-0.50,-0.75,1.25,-0.02,1.08
26.00,0.00,263.62,4.56,-99.75,0.06,-0.62,-0.06,-0.02,1.10
26.00,1.00,273.69,-6.75,-44.12,0.62,1.44,0.69,-0.02,1.10
26.00,2.00,304.75,-13.38,21.38,-0.06,-0.56,1.12,-0.02,1.10
26.00,0.00,263.62,4.56,-99.75,0.12,-0.69,-0.06,-0.02,1.12
26.00,1.00,273.69,-6.75,-44.12,0.25,1.56,0.62,-0.02,1.12
26.00,2.00,304.75,-13.38,21.38,0.19,-0.44,1.12,-0.02,1.12
26.00,0.00,263.69,4.56,-99.75,-0.25,-0.44,-0.38,-0.02,1.14
26.00,1.00,273.62,-6.81,-44.12,0.19,1.56,0.62,-0.02,1.14
26.00,2.00,304.75,-13.38,21.38,-0.12,-0.06,1.12,-0.02,1.14
26.00,0.00,263.69,4.56,-99.75,-0.31,-0.19,-0.12,-0.02,1.16
26.00,1.00,273.62,-6.81,-44.12,-0.25,0.94,0.88,-0.02,1.16
26.00,2.00,304.69,-13.44,21.38,-0.50,-0.38,1.38,-0.02,1.16
26.00,0.00,263.69,4.56,-99.75,-0.06,0.50,0.25,0.00,1.18
26.00,1.00,273.56,-6.81,-44.12,0.06,1.12,0.88,0.00,1.18
26.00,2.00,304.69,-13.44,21.38,-0.44,-0.69,1.06,0.00,1.18
26.00,0.00,263.69,4.56,-99.75,-0.06,0.44,0.12,0.00,1.20
26.00,1.00,273.56,-6.81,-44.12,0.00,0.75,0.88,0.00,1.20
26.00,2.00,304.62,-13.44,21.38,-0.25,-0.62,0.88,0.00,1.20
26.00,0.00,263.69,4.56,-99.75,0.00,0.56,0.06,0.00,1.22
26.00,1.00,273.56,-6.81,-44.12,0.06,0.31,0.69,0.00,1.22
26.00,2.00,304.62,-13.44,21.38,0.00,-0.19,0.69,0.00,1.22
26.00,0.00,263.69,4.56,-99.75,0.06,0.38,0.06,0.02,1.24
26.00,1.00,273.56,-6.81,-44.12,-0.06,0.19,0.50,0.02,1.24
26.00,2.00,304.62,-13.44,21.38,-0.50,0.31,0.31,0.02,1.24
26.00,0.00,263.69,4.56,-99.75,0.38,0.31,0.00,0.06,1.26
26.00,1.00,273.56,-6.81,-44.12,-0.38,0.62,0.50,0.06,1.26
26.00,2.00,304.62,-13.50,21.44,-0.75,1.19,0.00,0.06,1.26
26.00,0.00,263.62,4.62,-99.81,0.75,-0.75,0.88,0.09,1.28
26.00,1.00,273.56,-6.81,-44.12,-1.31,1.25,0.44,0.09,1.28
26.00,2.00,304.62,-13.50,21.44,-0.12,0.12,-0.62,0.09,1.28
