Iteration,IMUNo,OrientationX (deg),OrientationY,OrientationZ,GyroX (20rad/sec),GyroY,GyroZ,Elbow_Pos (rad),Time (sec)
12.00,0.00,261.56,7.81,-98.62,0.44,0.19,0.06,0.00,1.02
12.00,1.00,280.25,-5.56,-43.12,0.44,-0.31,-0.06,0.00,1.02
12.00,2.00,316.88,-14.44,21.94,0.50,0.00,-0.06,0.00,1.02
12.00,0.00,261.56,7.81,-98.62,0.44,0.31,-0.12,0.00,1.02
12.00,1.00,280.25,-5.56,-43.12,0.19,-0.31,-0.19,0.00,1.04
12.00,2.00,316.88,-14.44,21.94,0.50,-0.06,-0.25,0.00,1.04
12.00,0.00,261.56,7.81,-98.62,0.44,0.31,0.00,-0.01,1.04
12.00,1.00,280.25,-5.56,-43.12,0.31,-0.31,-0.38,-0.01,1.04
12.00,2.00,316.88,-14.44,21.94,0.62,-0.31,-0.19,-0.01,1.06
12.00,0.00,261.56,7.81,-98.62,0.38,0.12,-0.31,-0.01,1.06
12.00,1.00,280.31,-5.56,-43.12,0.62,-0.62,-0.31,-0.01,1.06
12.00,2.00,316.88,-14.44,21.94,0.38,0.00,-0.38,-0.01,1.08
12.00,0.00,261.56,7.81,-98.62,0.19,-0.06,-0.38,0.00,1.08
12.00,1.00,280.31,-5.56,-43.12,-0.25,-0.56,-0.62,0.00,1.08
12.00,2.00,316.88,-14.44,21.94,-0.06,0.00,-0.31,0.00,1.10
12.00,0.00,261.56,7.81,-98.62,0.06,0.06,-0.12,0.00,1.10
12.00,1.00,280.31,-5.56,-43.06,-0.75,-0.44,-0.75,0.00,1.10
12.00,2.00,316.88,-14.44,21.94,-0.12,0.25,-0.38,0.00,1.10
12.00,0.00,261.56,7.81,-98.62,0.31,-0.06,0.00,0.02,1.12
12.00,1.00,280.31,-5.56,-43.06,-0.88,-0.06,-0.19,0.02,1.12
12.00,2.00,316.88,-14.50,21.94,-0.44,-0.12,-0.50,0.02,1.12
12.00,0.00,261.56,7.81,-98.62,0.25,0.31,0.00,0.04,1.14
12.00,1.00,280.31,-5.56,-43.06,-0.25,0.06,0.25,0.04,1.14
12.00,2.00,316.88,-14.50,21.94,-0.38,-0.31,0.00,0.04,1.14
12.00,0.00,261.56,7.81,-98.62,-0.12,0.31,-0.19,0.03,1.16
12.00,1.00,280.31,-5.56,-43.06,0.31,-0.56,-0.06,0.03,1.16
12.00,2.00,316.88,-14.50,22.00,0.25,-0.12,0.25,0.03,1.16
12.00,0.00,261.56,7.81,-98.62,0.19,0.31,-0.19,0.02,1.18
12.00,1.00,280.31,-5.56,-43.06,0.25,-0.56,-0.19,0.02,1.18
12.00,2.00,316.88,-14.50,22.00,0.62,-0.19,0.06,0.02,1.18
12.00,0.00,261.56,7.81,-98.62,0.56,-0.25,-0.12,0.01,1.20
12.00,1.00,280.31,-5.56,-43.06,0.12,0.06,-0.44,0.01,1.20
12.00,2.00,316.88,-14.50,22.00,0.75,-0.06,-0.19,0.01,1.20
12.00,0.00,261.56,7.81,-98.62,0.62,-0.06,0.00,0.02,1.22
12.00,1.00,280.31,-5.56,-43.06,0.06,-0.38,-0.25,0.02,1.22
12.00,2.00,316.88,-14.50,22.00,0.44,-0.25,-0.06,0.02,1.22
12.00,0.00,261.56,7.81,-98.62,0.25,0.69,0.12,0.02,1.24
12.00,1.00,280.31,-5.56,-43.06,0.19,-0.25,0.06,0.02,1.24
12.00,2.00,316.88,-14.50,22.00,0.31,-0.62,0.12,0.02,1.24
12.00,0.00,261.56,7.81,-98.62,0.25,0.94,0.31,0.02,1.26
12.00,1.00,280.31,-5.56,-43.06,0.06,-0.12,0.31,0.02,1.26
12.00,2.00,316.81,-14.50,22.00,-0.06,-0.81,0.56,0.02,1.26
12.00,0.00,261.50,7.81,-98.62,0.38,1.06,0.25,0.03,1.28
12.00,1.00,280.31,-5.56,-43.06,0.12,0.31,0.56,0.03,1.28
12.00,2.00,316.81,-14.50,22.00,0.00,-0.38,0.38,0.03,1.28
12.00,0.00,261.50,7.81,-98.62,0.06,0.69,0.06,0.03,1.30
12.00,1.00,280.31,-5.56,-43.06,0.19,0.44,0.38,0.03,1.30
12.00,2.00,316.81,-14.50,22.00,0.00,-0.12,0.88,0.03,1.30
12.00,0.00,261.50,7.81,-98.62,0.25,0.56,-0.31,0.01,1.32
12.00,1.00,280.31,-5.56,-43.06,-0.31,0.31,-0.12,0.01,1.32
12.00,2.00,316.81,-14.56,22.00,1.38,-0.50,0.62,0.01,1.32
12.00,0.00,261.50,7.81,-98.62,0.56,-0.25,-0.50,-0.07,1.34
12.00,1.00,280.31,-5.56,-43.06,-0.69,0.69,-0.62,-0.07,1.34
12.00,2.00,316.81,-14.56,21.94,3.44,-0.50,-0.19,-0.07,1.34
12.00,0.00,261.50,7.81,-98.62,1.31,-0.69,0.25,-0.11,1.36
12.00,1.00,280.31,-5.56,-43.06,-1.50,1.88,-0.88,-0.11,1.36
12.00,2.00,316.81,-14.56,21.88,2.94,-0.50,-0.81,-0.11,1.36
12.00,0.00,261.44,7.88,-98.69,3.38,0.12,3.69,-0.04,1.38
12.00,1.00,280.31,-5.62,-43.00,-1.94,2.06,-0.81,-0.04,1.38
12.00,2.00,316.88,-14.50,21.88,0.75,-1.75,-1.31,-0.04,1.38
12.00,0.00,261.25,8.06,-98.81,8.06,2.19,9.44,0.19,1.40
12.00,1.00,280.31,-5.69,-43.00,-1.44,0.06,-2.12,0.19,1.40
12.00,2.00,316.81,-14.44,21.88,-1.06,-5.06,0.94,0.19,1.40
12.00,0.00,260.88,8.31,-99.06,12.81,4.50,14.19,0.58,1.42
12.00,1.00,280.38,-5.69,-42.94,-1.56,-0.44,-3.44,0.58,1.42
12.00,2.00,316.75,-14.38,21.94,-2.88,-6.88,2.19,0.58,1.42
12.00,0.00,260.38,8.62,-99.31,17.56,5.44,17.25,1.18,1.44
12.00,1.00,280.44,-5.75,-42.94,-1.69,0.19,-3.69,1.18,1.44
12.00,2.00,316.69,-14.31,22.00,-6.44,-0.50,1.25,1.18,1.44
12.00,0.00,259.75,9.00,-99.75,24.62,7.00,19.12,1.94,1.46
12.00,1.00,280.50,-5.81,-42.88,-3.56,3.88,-4.06,1.94,1.46
12.00,2.00,316.69,-14.44,22.12,-5.94,5.44,0.69,1.94,1.46
12.00,0.00,259.12,9.38,-100.38,34.56,6.62,17.31,2.90,1.48
12.00,1.00,280.50,-5.88,-42.88,-4.69,4.69,-5.00,2.90,1.48
12.00,2.00,316.69,-14.56,22.25,-3.62,6.06,2.94,2.90,1.48
12.00,0.00,258.62,9.69,-101.19,45.50,3.12,12.94,4.09,1.50
12.00,1.00,280.56,-6.00,-42.81,-4.94,6.50,-5.69,4.09,1.50
12.00,2.00,316.56,-14.69,22.25,-2.38,7.25,5.81,4.09,1.50
12.00,0.00,258.25,9.88,-102.25,55.44,-1.56,8.38,5.58,1.52
12.00,1.00,280.56,-6.12,-42.75,-4.69,8.12,-4.75,5.58,1.52
12.00,2.00,316.44,-14.88,22.31,-4.19,6.19,8.44,5.58,1.52
12.00,0.00,257.94,9.94,-103.44,63.19,-6.25,5.69,7.36,1.54
12.00,1.00,280.56,-6.25,-42.69,-5.06,9.00,-3.69,7.36,1.54
12.00,2.00,316.25,-15.06,22.44,-8.06,5.88,9.88,7.36,1.54
12.00,0.00,257.88,9.94,-104.81,69.81,-11.69,1.25,9.37,1.56
12.00,1.00,280.50,-6.38,-42.62,-5.69,9.50,-2.88,9.37,1.56
12.00,2.00,316.06,-15.19,22.56,-10.88,5.44,11.38,9.37,1.56
12.00,0.00,257.94,9.81,-106.31,77.88,-16.88,-2.25,11.58,1.58
12.00,1.00,280.44,-6.56,-42.56,-5.94,10.31,-2.50,11.58,1.58
12.00,2.00,315.81,-15.44,22.69,-10.56,7.00,12.12,11.58,1.58
12.00,0.00,258.12,9.62,-108.00,84.44,-18.38,-5.69,13.92,1.60
12.00,1.00,280.38,-6.69,-42.44,-6.12,11.62,-2.56,13.92,1.60
12.00,2.00,315.56,-15.62,22.81,-9.25,7.56,13.69,13.92,1.60
12.00,0.00,258.44,9.31,-109.75,88.25,-18.94,-11.19,16.35,1.62
12.00,1.00,280.38,-6.88,-42.38,-6.12,12.75,-2.50,16.35,1.62
12.00,2.00,315.25,-15.88,22.94,-8.81,8.12,16.06,16.35,1.62
12.00,0.00,258.75,8.94,-111.50,90.38,-18.38,-14.50,18.89,1.64
12.00,1.00,280.25,-7.12,-42.31,-6.69,14.31,-2.38,18.89,1.64
12.00,2.00,314.94,-16.19,23.06,-11.38,8.62,17.06,18.89,1.64
12.00,0.00,259.25,8.56,-113.31,92.75,-17.81,-13.44,21.53,1.66
12.00,1.00,280.19,-7.38,-42.19,-7.50,14.94,-2.88,21.53,1.66
12.00,2.00,314.62,-16.44,23.25,-13.06,7.25,16.69,21.53,1.66
12.00,0.00,259.44,8.25,-115.19,94.88,-14.25,-9.94,24.20,1.68
12.00,1.00,280.12,-7.62,-42.06,-8.00,14.38,-4.19,24.20,1.68
12.00,2.00,314.31,-16.69,23.44,-12.00,6.88,14.75,24.20,1.68
12.00,0.00,259.44,8.06,-117.06,95.75,-9.25,-8.31,26.86,1.70
12.00,1.00,280.12,-7.88,-41.94,-8.38,13.38,-5.56,26.86,1.70
12.00,2.00,314.00,-16.94,23.56,-10.69,9.31,13.62,26.86,1.70
12.00,0.00,259.44,7.94,-118.00,96.31,-3.75,-6.19,29.54,1.72
12.00,1.00,280.12,-8.12,-41.75,-8.00,13.44,-5.94,29.54,1.72
12.00,2.00,313.75,-17.19,23.75,-11.06,8.75,13.31,29.54,1.72
12.00,0.00,259.12,7.88,-119.81,92.19,1.06,-3.31,32.11,1.74
12.00,1.00,280.12,-8.44,-41.62,-8.81,13.06,-5.88,32.11,1.74
12.00,2.00,313.50,-17.38,23.88,-10.88,2.19,14.81,32.11,1.74
12.00,0.00,258.69,7.81,-121.62,88.50,-0.38,-2.62,34.66,1.76
12.00,1.00,280.19,-8.69,-41.50,-8.38,12.75,-6.19,34.66,1.76
12.00,2.00,313.12,-17.50,24.06,-13.50,0.50,14.19,34.66,1.76
12.00,0.00,258.44,7.75,-123.31,84.88,-2.44,-2.69,37.10,1.78
12.00,1.00,280.19,-9.00,-41.38,-8.75,11.50,-6.56,37.10,1.78
12.00,2.00,312.88,-17.62,24.25,-12.88,-0.19,11.38,37.10,1.78
12.00,0.00,258.12,7.69,-124.94,83.25,-5.38,-2.00,39.44,1.80
12.00,1.00,280.25,-9.25,-41.19,-8.50,10.00,-7.75,39.44,1.80
12.00,2.00,312.69,-17.62,24.38,-10.56,-1.75,7.69,39.44,1.80
12.00,0.00,257.94,7.56,-126.56,78.75,-9.50,-2.62,41.64,1.82
12.00,1.00,280.38,-9.50,-41.06,-8.38,9.19,-9.00,41.64,1.82
12.00,2.00,312.50,-17.69,24.56,-9.31,-1.31,4.81,41.64,1.82
12.00,0.00,257.88,7.38,-128.06,75.75,-13.19,-0.75,43.77,1.84
12.00,1.00,280.44,-9.75,-40.88,-8.62,8.38,-9.62,43.77,1.84
12.00,2.00,312.44,-17.69,24.75,-9.44,0.44,2.81,43.77,1.84
12.00,0.00,257.94,7.25,-129.56,72.00,-14.50,-0.44,45.83,1.86
12.00,1.00,280.56,-10.06,-40.69,-10.25,8.19,-10.25,45.83,1.86
12.00,2.00,312.38,-17.75,24.94,-10.62,0.81,0.94,45.83,1.86
12.00,0.00,258.19,7.06,-130.94,68.81,-14.44,-0.94,47.82,1.88
12.00,1.00,280.75,-10.31,-40.50,-11.12,7.75,-11.31,47.82,1.88
12.00,2.00,312.38,-17.75,25.12,-10.56,0.88,-0.06,47.82,1.88
12.00,0.00,258.38,6.88,-132.31,66.19,-12.94,-0.88,49.64,1.90
12.00,1.00,280.88,-10.56,-40.25,-11.38,7.12,-12.19,49.64,1.90
12.00,2.00,312.31,-17.75,25.31,-7.06,1.25,-0.81,49.64,1.90
12.00,0.00,258.50,6.69,-133.56,64.31,-12.25,-1.19,51.43,1.92
12.00,1.00,281.06,-10.88,-40.06,-12.12,7.94,-12.06,51.43,1.92
12.00,2.00,312.31,-17.81,25.44,-7.31,2.00,-0.69,51.43,1.92
12.00,0.00,258.56,6.50,-134.75,59.75,-10.94,-0.06,53.12,1.94
12.00,1.00,281.19,-11.12,-39.81,-12.19,8.31,-11.25,53.12,1.94
12.00,2.00,312.31,-17.88,25.56,-7.75,1.62,0.44,53.12,1.94
12.00,0.00,96.94,6.38,-135.94,58.06,-11.31,-0.12,54.82,1.96
12.00,1.00,281.31,-11.38,-39.56,-12.62,8.56,-10.44,54.82,1.96
12.00,2.00,312.25,-17.88,25.75,-10.06,-0.19,0.81,54.82,1.96
12.00,0.00,96.94,6.19,-136.94,47.62,-12.31,-2.81,56.23,1.98
12.00,1.00,281.44,-11.62,-39.31,-12.94,8.81,-9.31,56.23,1.98
12.00,2.00,312.19,-17.88,25.94,-8.94,-0.06,0.75,56.23,1.98
12.00,0.00,96.88,5.94,-137.81,43.81,-12.50,-4.06,57.50,2.00
12.00,1.00,281.50,-11.94,-39.00,-13.31,9.38,-8.69,57.50,2.00
12.00,2.00,312.19,-17.88,26.06,-7.06,0.00,1.06,57.50,2.00
12.00,0.00,96.88,5.69,-138.62,41.12,-12.94,-4.88,58.75,2.02
12.00,1.00,281.56,-12.19,-38.75,-14.12,9.94,-8.12,58.75,2.02
12.00,2.00,312.12,-17.94,26.25,-8.62,2.69,2.12,58.75,2.02
12.00,0.00,96.88,5.38,-139.38,34.31,-16.00,-7.38,59.84,2.04
12.00,1.00,281.56,-12.44,-38.50,-15.38,10.69,-6.56,59.84,2.04
12.00,2.00,312.06,-18.06,26.44,-9.69,4.19,2.56,59.84,2.04
12.00,0.00,96.75,5.06,-140.00,32.69,-15.69,-7.75,60.94,2.06
12.00,1.00,281.62,-12.69,-38.19,-15.25,10.94,-6.38,60.94,2.06
12.00,2.00,312.00,-18.19,26.62,-11.19,4.88,2.62,60.94,2.06
12.00,0.00,96.75,4.69,-140.56,27.31,-15.31,-10.31,61.93,2.08
12.00,1.00,281.62,-12.94,-37.88,-16.31,12.00,-6.88,61.93,2.08
12.00,2.00,311.94,-18.31,26.88,-12.12,7.38,3.25,61.93,2.08
12.00,0.00,96.62,4.31,-141.06,24.88,-15.62,-10.69,62.86,2.10
12.00,1.00,281.62,-13.19,-37.56,-16.50,12.25,-7.06,62.86,2.10
12.00,2.00,311.81,-18.56,27.12,-12.38,9.12,5.12,62.86,2.10
12.00,0.00,96.56,4.00,-141.50,20.25,-13.44,-11.31,63.66,2.12
12.00,1.00,281.62,-13.50,-37.25,-15.94,14.00,-6.38,63.66,2.12
12.00,2.00,311.69,-18.81,27.38,-11.94,10.31,6.44,63.66,2.12
12.00,0.00,96.38,3.62,-141.75,16.75,-12.88,-13.00,64.39,2.14
12.00,1.00,281.62,-13.81,-37.00,-15.44,14.12,-6.31,64.39,2.14
12.00,2.00,311.56,-19.06,27.56,-12.50,10.75,7.25,64.39,2.14
12.00,0.00,96.12,3.25,-142.00,12.88,-11.25,-14.81,65.00,2.16
12.00,1.00,281.62,-14.12,-36.69,-15.00,14.50,-6.19,65.00,2.16
12.00,2.00,311.44,-19.31,27.81,-11.75,11.56,7.44,65.00,2.16
12.00,0.00,95.88,2.94,-142.12,7.62,-8.62,-16.12,65.50,2.18
12.00,1.00,281.62,-14.44,-36.44,-13.62,14.31,-6.12,65.50,2.18
12.00,2.00,311.31,-19.62,28.06,-12.31,12.75,7.38,65.50,2.18
12.00,0.00,95.62,2.62,-142.19,4.69,-6.62,-16.19,65.88,2.20
12.00,1.00,281.69,-14.75,-36.19,-12.06,13.44,-6.12,65.88,2.20
12.00,2.00,311.19,-19.88,28.31,-10.44,11.38,6.94,65.88,2.20
12.00,0.00,95.38,2.38,-142.19,1.06,-3.62,-14.06,66.15,2.22
12.00,1.00,281.69,-15.06,-35.94,-11.31,12.94,-6.12,66.15,2.22
12.00,2.00,311.06,-20.12,28.50,-9.56,10.06,6.94,66.15,2.22
12.00,0.00,95.12,2.25,-142.12,-4.44,-1.00,-14.00,66.23,2.24
12.00,1.00,281.69,-15.38,-35.75,-10.38,11.88,-5.38,66.23,2.24
12.00,2.00,310.94,-20.38,28.69,-7.69,9.44,6.69,66.23,2.24
12.00,0.00,94.88,2.12,-141.94,-8.00,0.94,-13.81,66.18,2.26
12.00,1.00,281.69,-15.62,-35.56,-9.88,11.38,-4.44,66.18,2.26
12.00,2.00,310.81,-20.62,28.81,-6.06,7.62,5.44,66.18,2.26
12.00,0.00,94.62,2.00,-141.75,-8.62,2.62,-12.00,66.17,2.28
12.00,1.00,281.69,-15.88,-35.38,-10.56,10.31,-3.69,66.17,2.28
12.00,2.00,310.75,-20.81,28.94,-8.19,6.25,4.81,66.17,2.28
12.00,0.00,94.38,1.94,-141.56,-9.31,3.19,-10.56,66.12,2.30
