Iteration,IMUNo,OrientationX (deg),OrientationY,OrientationZ,GyroX (20rad/sec),GyroY,GyroZ,Elbow_Pos (rad),Time (sec)
6.00,0.00,266.00,6.06,-99.12,2.31,-3.00,-2.50,0.02,1.00
6.00,1.00,288.31,-5.56,-40.31,1.88,2.25,-2.38,0.02,1.00
6.00,2.00,325.81,-14.62,24.81,1.50,3.12,1.38,0.02,1.02
6.00,0.00,266.12,6.00,-99.19,3.12,-2.94,-3.06,-0.02,1.02
6.00,1.00,288.38,-5.62,-40.38,2.62,1.75,-2.75,-0.02,1.02
6.00,2.00,325.81,-14.69,24.69,5.00,4.88,0.94,-0.02,1.02
6.00,0.00,266.19,6.00,-99.25,3.50,-2.56,-3.06,-0.07,1.04
6.00,1.00,288.44,-5.69,-40.44,3.25,1.06,-2.81,-0.07,1.04
6.00,2.00,325.81,-14.75,24.69,6.00,4.50,0.44,-0.07,1.04
6.00,0.00,266.25,5.94,-99.31,2.44,-1.88,-2.56,-0.13,1.06
6.00,1.00,288.50,-5.75,-40.50,3.62,0.88,-2.56,-0.13,1.06
6.00,2.00,325.88,-14.81,24.56,5.06,3.50,0.88,-0.13,1.06
6.00,0.00,266.31,5.88,-99.38,1.50,-1.38,-1.44,-0.17,1.08
6.00,1.00,288.50,-5.75,-40.56,3.62,1.44,-2.06,-0.17,1.08
6.00,2.00,325.88,-14.88,24.44,3.31,2.94,1.94,-0.17,1.08
6.00,0.00,266.38,5.88,-99.38,0.50,-0.69,-0.94,-0.18,1.10
6.00,1.00,288.50,-5.81,-40.62,2.62,2.56,-1.00,-0.18,1.10
6.00,2.00,325.88,-14.94,24.38,1.31,2.50,2.69,-0.18,1.10
6.00,0.00,266.38,5.88,-99.38,0.44,-0.31,-0.31,-0.19,1.12
6.00,1.00,288.50,-5.88,-40.69,0.88,3.19,-0.19,-0.19,1.12
6.00,2.00,325.81,-15.06,24.38,0.81,2.31,2.62,-0.19,1.12
6.00,0.00,266.38,5.88,-99.44,0.31,0.25,-0.25,-0.20,1.14
6.00,1.00,288.50,-5.94,-40.69,-0.06,3.06,0.06,-0.20,1.14
6.00,2.00,325.75,-15.06,24.38,0.69,0.75,2.44,-0.20,1.14
6.00,0.00,266.38,5.88,-99.44,0.31,0.44,-0.38,-0.21,1.16
6.00,1.00,288.50,-5.94,-40.69,0.19,2.44,-0.31,-0.21,1.16
6.00,2.00,325.75,-15.12,24.31,0.81,0.44,1.94,-0.21,1.16
6.00,0.00,266.38,5.88,-99.44,0.12,0.94,-0.81,-0.20,1.18
6.00,1.00,288.44,-6.00,-40.69,-0.62,2.31,-0.75,-0.20,1.18
6.00,2.00,325.69,-15.12,24.31,-0.50,0.25,1.62,-0.20,1.18
6.00,0.00,266.38,5.81,-99.38,0.56,0.62,-1.00,-0.15,1.20
6.00,1.00,288.50,-6.06,-40.69,-1.31,1.62,-0.88,-0.15,1.20
6.00,2.00,325.69,-15.12,24.31,-1.50,0.50,1.00,-0.15,1.20
6.00,0.00,266.38,5.81,-99.44,1.06,-0.69,-1.25,-0.10,1.22
6.00,1.00,288.50,-6.06,-40.62,-1.62,0.94,-1.56,-0.10,1.22
6.00,2.00,325.69,-15.19,24.38,-1.38,1.56,-0.69,-0.10,1.22
6.00,0.00,266.44,5.81,-99.44,1.38,-2.50,-1.50,-0.05,1.24
6.00,1.00,288.50,-6.12,-40.62,-1.75,0.69,-2.06,-0.05,1.24
6.00,2.00,325.69,-15.19,24.44,-1.19,1.75,-1.69,-0.05,1.24
6.00,0.00,266.56,5.75,-99.50,1.50,-2.94,-1.56,0.01,1.26
6.00,1.00,288.56,-6.12,-40.56,-2.00,0.19,-2.50,0.01,1.26
6.00,2.00,325.75,-15.19,24.44,-1.12,1.81,-1.56,0.01,1.26
6.00,0.00,266.62,5.69,-99.50,1.00,-3.75,-2.31,0.05,1.28
6.00,1.00,288.62,-6.19,-40.56,-1.56,-0.12,-2.69,0.05,1.28
6.00,2.00,325.75,-15.25,24.50,-1.12,1.31,-1.19,0.05,1.28
6.00,0.00,266.81,5.62,-99.56,0.88,-3.75,-2.88,0.09,1.30
6.00,1.00,288.69,-6.19,-40.50,-0.75,-0.31,-2.62,0.09,1.30
6.00,2.00,325.81,-15.31,24.56,-0.88,1.62,-0.62,0.09,1.30
6.00,0.00,266.94,5.56,-99.56,0.88,-3.56,-2.69,0.11,1.32
6.00,1.00,288.69,-6.25,-40.50,-0.75,-0.38,-2.50,0.11,1.32
6.00,2.00,325.81,-15.31,24.56,-0.19,1.88,-1.25,0.11,1.32
6.00,0.00,267.00,5.56,-99.62,1.06,-2.75,-2.31,0.12,1.34
6.00,1.00,288.75,-6.31,-40.50,-0.31,0.06,-2.75,0.12,1.34
6.00,2.00,325.81,-15.31,24.56,0.62,2.44,-1.31,0.12,1.34
6.00,0.00,267.06,5.50,-99.69,1.06,-1.81,-1.50,0.12,1.36
6.00,1.00,288.81,-6.31,-40.50,0.06,0.25,-2.75,0.12,1.36
6.00,2.00,325.88,-15.44,24.56,1.19,2.19,-0.62,0.12,1.36
6.00,0.00,267.12,5.50,-99.69,0.38,-0.94,-1.06,0.09,1.38
6.00,1.00,288.88,-6.38,-40.50,0.94,-0.25,-2.25,0.09,1.38
6.00,2.00,325.88,-15.50,24.56,1.38,1.44,0.38,0.09,1.38
6.00,0.00,267.12,5.50,-99.69,0.44,-1.00,0.19,0.07,1.40
6.00,1.00,288.94,-6.38,-40.50,1.00,-0.81,-2.19,0.07,1.40
6.00,2.00,325.88,-15.56,24.56,1.56,2.44,0.25,0.07,1.40
6.00,0.00,267.12,5.50,-99.69,0.31,-1.38,1.81,0.04,1.42
6.00,1.00,288.94,-6.44,-40.56,0.31,-0.38,-2.31,0.04,1.42
6.00,2.00,325.88,-15.56,24.56,1.81,1.94,-0.25,0.04,1.42
6.00,0.00,267.06,5.56,-99.75,0.81,-1.69,4.75,0.07,1.44
6.00,1.00,289.00,-6.50,-40.50,-2.00,3.94,-1.06,0.07,1.44
6.00,2.00,325.94,-15.62,24.56,-0.44,4.12,0.56,0.07,1.44
6.00,0.00,266.94,5.75,-99.75,1.12,-0.44,9.00,0.14,1.46
6.00,1.00,288.94,-6.56,-40.50,-5.75,7.06,0.06,0.14,1.46
6.00,2.00,325.94,-15.69,24.56,-2.44,3.88,0.88,0.14,1.46
6.00,0.00,266.56,6.00,-99.81,2.50,3.12,14.75,0.34,1.48
6.00,1.00,288.88,-6.69,-40.38,-8.56,7.62,0.38,0.34,1.48
6.00,2.00,325.88,-15.75,24.69,-7.19,-1.94,0.88,0.34,1.48
6.00,0.00,265.94,6.50,-99.94,10.88,9.25,23.00,0.86,1.50
6.00,1.00,288.81,-6.75,-40.25,-7.00,3.50,-0.25,0.86,1.50
6.00,2.00,325.75,-15.62,24.88,-13.88,-9.81,4.00,0.86,1.50
6.00,0.00,265.12,7.00,-100.25,18.00,11.94,27.38,1.50,1.52
6.00,1.00,288.81,-6.81,-40.06,-7.44,3.62,-1.56,1.50,1.52
6.00,2.00,325.69,-15.56,25.00,-12.50,-3.62,0.38,1.50,1.52
6.00,0.00,264.19,7.62,-100.69,26.38,12.94,29.94,2.20,1.54
6.00,1.00,288.81,-6.94,-39.94,-9.00,3.19,-3.31,2.20,1.54
6.00,2.00,325.69,-15.56,25.31,-7.00,4.62,-2.81,2.20,1.54
6.00,0.00,263.25,8.19,-101.38,37.50,10.12,27.75,3.10,1.56
6.00,1.00,288.88,-7.00,-39.75,-8.56,3.31,-3.94,3.10,1.56
6.00,2.00,325.69,-15.62,25.38,-5.31,3.12,-0.50,3.10,1.56
6.00,0.00,262.50,8.69,-102.31,53.00,3.12,24.25,4.39,1.58
6.00,1.00,288.88,-7.12,-39.62,-7.12,3.69,-3.50,4.39,1.58
6.00,2.00,325.69,-15.62,25.56,-8.44,-3.25,1.50,4.39,1.58
6.00,0.00,261.88,9.12,-103.62,72.38,-5.38,21.38,6.08,1.60
6.00,1.00,288.94,-7.19,-39.50,-5.06,1.88,-3.75,6.08,1.60
6.00,2.00,325.56,-15.50,25.69,-8.19,-7.19,1.88,6.08,1.60
6.00,0.00,261.38,9.38,-105.31,88.75,-13.25,18.25,8.06,1.62
6.00,1.00,289.00,-7.25,-39.44,-2.62,-0.69,-4.31,8.06,1.62
6.00,2.00,325.56,-15.44,25.75,-5.81,-8.25,0.25,8.06,1.62
6.00,0.00,261.06,9.62,-107.31,101.44,-20.44,16.69,10.19,1.64
6.00,1.00,289.12,-7.25,-39.38,-0.56,-1.75,-4.94,10.19,1.64
6.00,2.00,325.44,-15.25,25.81,-0.44,-5.94,1.50,10.19,1.64
6.00,0.00,260.75,9.81,-109.56,113.00,-21.81,19.25,12.52,1.66
6.00,1.00,289.25,-7.31,-39.38,1.06,-0.62,-4.75,12.52,1.66
6.00,2.00,325.44,-15.25,25.81,1.88,-5.06,3.12,12.52,1.66
6.00,0.00,260.50,10.00,-111.94,121.88,-21.38,18.88,14.99,1.68
6.00,1.00,289.31,-7.38,-39.38,1.56,1.12,-3.50,14.99,1.68
6.00,2.00,325.19,-15.12,25.62,4.19,-10.12,7.81,14.99,1.68
6.00,0.00,260.06,10.19,-114.50,130.38,-22.38,19.50,17.65,1.70
6.00,1.00,289.38,-7.44,-39.38,1.81,1.50,-2.69,17.65,1.70
6.00,2.00,325.12,-15.06,25.56,3.75,-13.75,9.25,17.65,1.70
6.00,0.00,259.38,10.44,-117.25,137.12,-18.06,24.88,20.43,1.72
6.00,1.00,289.38,-7.44,-39.38,3.38,0.81,-2.00,20.43,1.72
6.00,2.00,324.88,-14.88,25.44,4.12,-16.25,8.44,20.43,1.72
6.00,0.00,258.38,10.75,-120.06,140.94,-12.56,24.25,23.26,1.74
6.00,1.00,289.44,-7.50,-39.44,3.44,-0.25,-2.50,23.26,1.74
6.00,2.00,324.62,-14.56,25.25,6.06,-22.19,5.62,23.26,1.74
6.00,0.00,257.12,11.06,-122.88,143.25,-7.75,23.31,26.15,1.76
6.00,1.00,289.50,-7.50,-39.50,4.69,-1.19,-2.88,26.15,1.76
6.00,2.00,324.50,-14.19,25.06,5.44,-24.06,3.38,26.15,1.76
6.00,0.00,255.62,11.38,-125.81,147.38,-3.44,23.31,29.13,1.78
6.00,1.00,289.56,-7.50,-39.56,5.62,-1.56,-3.31,29.13,1.78
6.00,2.00,324.38,-13.75,24.94,5.38,-27.00,-1.81,29.13,1.78
6.00,0.00,253.75,11.75,-128.88,157.38,-2.44,27.44,32.30,1.80
6.00,1.00,289.69,-7.56,-39.56,6.81,-3.81,-3.81,32.30,1.80
6.00,2.00,324.31,-13.25,24.81,6.06,-30.06,-0.62,32.30,1.80
6.00,0.00,251.81,12.06,-132.06,159.50,-8.31,27.75,35.49,1.82
6.00,1.00,289.88,-7.56,-39.69,10.06,-6.00,-5.38,35.49,1.82
6.00,2.00,324.19,-12.75,24.75,7.19,-32.62,-0.88,35.49,1.82
6.00,0.00,250.00,12.25,-135.19,156.12,-16.81,25.19,38.66,1.84
6.00,1.00,290.06,-7.50,-39.81,12.25,-8.75,-7.19,38.66,1.84
6.00,2.00,324.12,-12.12,24.75,5.25,-33.00,-3.94,38.66,1.84
6.00,0.00,104.50,12.25,-138.25,149.94,-19.44,23.25,41.59,1.86
6.00,1.00,290.31,-7.50,-40.00,14.38,-9.62,-8.44,41.59,1.86
6.00,2.00,324.12,-11.50,24.56,10.19,-31.50,-5.75,41.59,1.86
6.00,0.00,104.75,12.25,-141.19,144.25,-20.62,21.31,44.10,1.88
6.00,1.00,290.56,-7.50,-40.25,16.75,-9.38,-8.06,44.10,1.88
6.00,2.00,324.12,-10.88,24.12,24.38,-36.62,-9.19,44.10,1.88
6.00,0.00,104.94,12.12,-144.06,138.19,-21.69,19.75,46.60,1.90
6.00,1.00,290.88,-7.50,-40.56,17.31,-10.19,-7.88,46.60,1.90
6.00,2.00,324.19,-10.12,23.69,19.06,-40.56,-9.88,46.60,1.90
6.00,0.00,105.19,12.06,-146.75,130.56,-20.81,20.81,48.99,1.92
6.00,1.00,291.00,-7.50,-40.69,18.56,-10.75,-7.62,48.99,1.92
6.00,2.00,324.25,-9.38,23.31,16.25,-34.56,-8.00,48.99,1.92
6.00,0.00,105.44,11.94,-149.19,117.00,-18.12,20.00,50.87,1.94
6.00,1.00,291.38,-7.44,-41.19,19.75,-11.94,-7.44,50.87,1.94
6.00,2.00,324.31,-8.69,22.94,27.31,-30.94,-8.06,50.87,1.94
6.00,0.00,105.62,11.88,-151.31,102.44,-14.31,18.88,52.38,1.96
6.00,1.00,291.50,-7.38,-41.38,21.38,-12.00,-6.50,52.38,1.96
6.00,2.00,324.44,-8.06,22.38,30.44,-30.94,-9.44,52.38,1.96
6.00,0.00,105.88,11.88,-153.19,86.75,-9.81,19.19,53.66,1.98
6.00,1.00,291.88,-7.25,-41.94,18.94,-10.44,-6.06,53.66,1.98
6.00,2.00,324.50,-7.50,21.81,25.81,-25.25,-6.44,53.66,1.98
6.00,0.00,106.06,11.88,-154.75,71.62,-5.56,18.56,54.73,2.00
6.00,1.00,292.00,-7.25,-42.06,16.44,-6.81,-5.38,54.73,2.00
6.00,2.00,324.56,-7.00,21.31,20.88,-21.19,-8.81,54.73,2.00
6.00,0.00,106.31,12.00,-155.94,55.31,-1.38,15.75,55.50,2.02
6.00,1.00,292.12,-7.25,-42.38,14.81,-5.06,-5.12,55.50,2.02
6.00,2.00,324.69,-6.62,20.94,18.44,-11.69,-6.38,55.50,2.02
6.00,0.00,106.44,12.12,-156.81,39.81,3.00,12.75,55.95,2.04
6.00,1.00,292.38,-7.25,-42.75,12.62,-3.31,-4.62,55.95,2.04
6.00,2.00,324.81,-6.38,20.56,18.38,-5.75,-6.38,55.95,2.04
6.00,0.00,106.56,12.31,-157.38,23.44,6.00,9.56,56.08,2.06
6.00,1.00,292.44,-7.25,-42.88,10.88,-2.00,-4.06,56.08,2.06
6.00,2.00,324.94,-6.25,20.25,17.00,-3.19,-6.00,56.08,2.06
6.00,0.00,106.62,12.44,-157.62,8.75,5.62,5.19,56.01,2.08
6.00,1.00,292.50,-7.25,-43.06,6.62,2.56,-2.19,56.01,2.08
6.00,2.00,325.06,-6.25,20.00,12.12,3.44,-3.69,56.01,2.08
6.00,0.00,106.69,12.56,-157.69,-0.94,3.56,3.94,55.86,2.10
6.00,1.00,292.50,-7.38,-43.19,3.38,4.50,-1.81,55.86,2.10
6.00,2.00,325.12,-6.38,19.81,6.19,10.62,0.12,55.86,2.10
6.00,0.00,106.75,12.62,-157.50,-13.69,1.94,0.56,55.52,2.12
6.00,1.00,292.50,-7.38,-43.44,0.12,8.81,-1.12,55.52,2.12
6.00,2.00,325.12,-6.62,19.62,2.81,15.94,2.12,55.52,2.12
6.00,0.00,106.75,12.56,-157.06,-24.44,-0.50,-4.19,54.98,2.14
6.00,1.00,292.38,-7.50,-43.62,-0.94,10.00,0.06,54.98,2.14
6.00,2.00,325.12,-6.94,19.38,1.38,17.69,2.75,54.98,2.14
6.00,0.00,106.69,12.50,-156.44,-32.81,-2.69,-8.31,54.28,2.16
6.00,1.00,292.25,-7.56,-43.88,-1.38,10.81,0.50,54.28,2.16
6.00,2.00,325.12,-7.38,19.25,0.19,20.12,3.94,54.28,2.16
6.00,0.00,106.56,12.31,-155.62,-39.06,-5.19,-12.75,53.52,2.18
6.00,1.00,292.12,-7.62,-44.06,-4.81,11.81,1.56,53.52,2.18
6.00,2.00,325.06,-7.75,19.31,-2.62,20.56,5.56,53.52,2.18
6.00,0.00,106.38,12.06,-154.81,-42.44,-7.75,-15.75,52.75,2.20
6.00,1.00,291.94,-7.69,-44.19,-5.75,12.12,2.12,52.75,2.20
6.00,2.00,325.00,-8.25,19.19,-5.56,22.06,7.62,52.75,2.20
6.00,0.00,106.19,11.81,-153.94,-43.44,-9.19,-15.75,52.03,2.22
6.00,1.00,291.69,-7.81,-44.31,-10.25,14.06,3.25,52.03,2.22
6.00,2.00,324.81,-8.75,19.06,-9.12,24.25,11.00,52.03,2.22
6.00,0.00,106.00,11.44,-153.06,-42.75,-10.94,-16.31,51.34,2.24
6.00,1.00,291.50,-7.94,-44.38,-11.06,13.56,4.12,51.34,2.24
6.00,2.00,324.69,-9.25,19.25,-10.12,23.38,12.81,51.34,2.24
6.00,0.00,105.81,11.19,-152.19,-41.25,-7.75,-16.56,50.66,2.26
6.00,1.00,291.25,-8.00,-44.38,-11.81,13.81,4.38,50.66,2.26
6.00,2.00,324.50,-9.75,19.38,-8.88,22.19,13.25,50.66,2.26
6.00,0.00,105.62,10.94,-151.38,-40.12,-2.88,-17.69,50.06,2.28
6.00,1.00,291.00,-8.12,-44.25,-14.19,15.38,5.31,50.06,2.28
6.00,2.00,324.31,-10.19,19.56,-11.25,19.56,13.12,50.06,2.28
6.00,0.00,105.25,10.75,-150.50,-43.88,4.19,-22.31,49.47,2.30
6.00,1.00,290.75,-8.25,-44.12,-14.31,15.62,5.94,49.47,2.30
6.00,2.00,324.06,-10.62,19.81,-15.62,18.06,14.31,49.47,2.30
6.00,0.00,104.81,10.62,-149.44,-46.19,5.81,-28.50,48.76,2.32
6.00,1.00,290.50,-8.38,-43.94,-14.38,14.88,5.06,48.76,2.32
6.00,2.00,323.75,-11.06,20.00,-12.62,15.00,16.19,48.76,2.32
6.00,0.00,104.44,10.50,-148.75,-28.94,3.44,-16.62,48.44,2.34
6.00,1.00,290.25,-8.50,-43.81,-14.38,15.19,4.12,48.44,2.34
6.00,2.00,323.50,-11.44,20.25,-13.50,14.44,16.31,48.44,2.34
6.00,0.00,104.25,10.44,-148.25,-24.38,5.38,-10.62,48.23,2.36
6.00,1.00,290.00,-8.62,-43.62,-15.38,15.75,3.38,48.23,2.36
6.00,2.00,323.19,-11.81,20.44,-14.44,15.31,16.00,48.23,2.36
6.00,0.00,103.88,10.38,-147.69,-25.00,2.94,-15.31,48.07,2.38
6.00,1.00,289.75,-8.81,-43.44,-16.38,16.50,2.88,48.07,2.38
6.00,2.00,322.88,-12.19,20.69,-17.12,15.62,15.94,48.07,2.38
6.00,0.00,103.50,10.12,-147.12,-26.19,-0.75,-22.31,47.93,2.40
6.00,1.00,289.56,-9.00,-43.12,-17.12,17.06,2.31,47.93,2.40
6.00,2.00,322.62,-12.56,21.06,-19.88,17.06,13.56,47.93,2.40
6.00,0.00,102.94,9.81,-146.56,-26.50,-3.31,-25.81,47.72,2.42
6.00,1.00,289.38,-9.19,-42.88,-16.81,16.06,1.75,47.72,2.42
6.00,2.00,322.44,-13.00,21.38,-16.19,15.81,14.12,47.72,2.42
6.00,0.00,102.56,9.50,-146.06,-22.38,-4.69,-21.19,47.59,2.44
6.00,1.00,289.19,-9.38,-42.56,-17.12,16.00,2.25,47.59,2.44
6.00,2.00,322.12,-13.31,21.69,-16.25,11.25,14.38,47.59,2.44
6.00,0.00,102.19,9.25,-145.56,-24.69,-2.31,-21.00,47.46,2.46
6.00,1.00,289.00,-9.56,-42.25,-19.12,16.06,2.88,47.46,2.46
6.00,2.00,321.88,-13.62,21.94,-18.75,10.62,14.69,47.46,2.46
