Iteration,IMUNo,OrientationX (deg),OrientationY,OrientationZ,GyroX (20rad/sec),GyroY,GyroZ,Elbow_Pos (rad),Time (sec)
27.00,0.00,239.88,3.62,-100.62,-0.19,-0.25,0.50,-0.05,1.00
27.00,1.00,252.62,-2.88,-62.19,-0.25,0.38,-0.44,-0.05,1.02
27.00,2.00,305.88,-15.00,22.88,0.25,-0.12,-0.19,-0.05,1.02
27.00,0.00,239.88,3.62,-100.62,-0.56,-1.75,-0.56,-0.10,1.02
27.00,1.00,252.62,-2.88,-62.19,-0.81,-0.06,-0.44,-0.10,1.02
27.00,2.00,305.88,-15.00,22.88,0.50,-0.31,-0.25,-0.10,1.04
27.00,0.00,239.94,3.62,-100.62,-0.12,-1.81,-1.00,-0.15,1.04
27.00,1.00,252.62,-2.88,-62.19,-0.06,0.00,-0.06,-0.15,1.04
27.00,2.00,305.88,-15.00,22.88,1.06,0.00,-0.69,-0.15,1.04
27.00,0.00,240.00,3.56,-100.62,0.62,-1.81,-0.88,-0.15,1.06
27.00,1.00,252.62,-2.88,-62.19,0.25,0.06,0.06,-0.15,1.06
27.00,2.00,305.88,-15.00,22.81,0.56,0.69,-0.31,-0.15,1.06
27.00,0.00,240.06,3.56,-100.62,0.69,-1.50,-0.75,-0.11,1.08
27.00,1.00,252.62,-2.88,-62.19,0.69,-0.62,-0.25,-0.11,1.08
27.00,2.00,305.88,-15.00,22.81,-0.19,-0.12,-0.25,-0.11,1.08
27.00,0.00,240.06,3.56,-100.62,0.69,-1.00,-0.06,-0.09,1.10
27.00,1.00,252.62,-2.88,-62.19,-0.06,-0.88,-0.69,-0.09,1.10
27.00,2.00,305.88,-15.00,22.81,0.31,0.00,-0.75,-0.09,1.10
27.00,0.00,240.06,3.56,-100.62,0.44,0.00,0.06,-0.11,1.12
27.00,1.00,252.69,-2.88,-62.19,-0.69,-0.75,-0.94,-0.11,1.12
27.00,2.00,305.88,-15.00,22.81,0.88,0.25,-0.81,-0.11,1.12
27.00,0.00,240.06,3.56,-100.62,0.06,0.94,0.12,-0.13,1.14
27.00,1.00,252.69,-2.94,-62.19,-0.19,-0.75,-0.88,-0.13,1.14
27.00,2.00,305.88,-15.00,22.81,0.38,0.06,0.19,-0.13,1.14
27.00,0.00,240.06,3.56,-100.62,-0.25,0.81,-0.12,-0.13,1.16
27.00,1.00,252.69,-2.94,-62.19,-0.12,-0.38,-0.44,-0.13,1.16
27.00,2.00,305.88,-15.00,22.81,-0.19,-0.12,0.69,-0.13,1.16
27.00,0.00,240.06,3.56,-100.62,-0.06,-0.62,-0.19,-0.09,1.18
27.00,1.00,252.69,-2.94,-62.19,-0.06,-0.12,-0.19,-0.09,1.18
27.00,2.00,305.88,-15.00,22.81,-0.81,-0.44,0.69,-0.09,1.18
27.00,0.00,240.12,3.56,-100.62,0.19,-1.31,-0.19,-0.09,1.20
27.00,1.00,252.69,-2.94,-62.19,0.00,0.00,-0.19,-0.09,1.20
27.00,2.00,305.88,-15.00,22.81,0.19,0.19,-0.12,-0.09,1.20
27.00,0.00,240.12,3.56,-100.62,0.00,-0.88,-0.50,-0.13,1.22
27.00,1.00,252.69,-2.94,-62.19,0.25,0.12,-0.38,-0.13,1.22
27.00,2.00,305.88,-15.00,22.81,0.81,0.31,-0.25,-0.13,1.22
27.00,0.00,240.12,3.56,-100.62,0.31,-0.88,-0.50,-0.15,1.24
27.00,1.00,252.69,-2.94,-62.19,0.12,0.00,-0.19,-0.15,1.24
27.00,2.00,305.88,-15.00,22.81,0.62,-0.25,0.25,-0.15,1.24
27.00,0.00,240.12,3.56,-100.62,-0.12,-0.31,-0.12,-0.18,1.26
27.00,1.00,252.69,-2.94,-62.19,0.44,0.06,-0.31,-0.18,1.26
27.00,2.00,305.88,-15.00,22.81,0.56,0.25,0.31,-0.18,1.26
27.00,0.00,240.12,3.56,-100.62,-0.12,0.69,-0.31,-0.19,1.28
27.00,1.00,252.69,-2.94,-62.19,0.50,-0.25,-0.31,-0.19,1.28
27.00,2.00,305.88,-15.00,22.81,0.00,0.06,0.38,-0.19,1.28
27.00,0.00,240.12,3.56,-100.62,0.31,-0.19,-0.25,-0.19,1.30
27.00,1.00,252.69,-2.94,-62.19,-0.12,-0.06,-0.50,-0.19,1.30
27.00,2.00,305.88,-15.00,22.81,0.38,0.19,0.12,-0.19,1.30
27.00,0.00,240.19,3.56,-100.62,0.56,-0.88,0.12,-0.19,1.32
27.00,1.00,252.69,-2.94,-62.19,-0.06,-0.25,-0.38,-0.19,1.32
