 Iteration,Theta,Accuracy (cm),Time (sec),Performance,XTrunkComp (cm),YTrunkComp (cm),ZTrunkComp (cm),XShoulerComp (cm),YShoulerComp (cm),ZShoulerComp (cm),FilterOut,du_hat,ddu_hat
 51.00,2.34,0.40,4.37,16.77,4.28,-2.06,0.19,3.90,0.38,1.42,-12.73,-95.83,-1036.45
 52.00,2.46,0.36,4.23,19.50,4.81,-2.12,0.24,3.99,0.40,1.63,-9.18,-123.77,-1230.33
 53.00,2.53,0.29,5.48,13.08,3.07,-2.75,0.10,4.09,0.42,1.72,1.91,-103.23,-505.18
 54.00,2.54,0.19,5.09,7.41,0.95,-0.48,0.01,3.73,0.35,1.96,9.31,-95.13,-975.59
 55.00,2.54,0.25,5.74,6.16,0.63,-0.16,0.00,3.45,0.30,2.35,6.52,-94.45,-23.12
 56.00,2.54,0.37,4.90,7.51,1.48,-1.27,0.02,3.58,0.32,2.13,-2.05,-63.05,-222.60
 57.00,2.56,0.37,5.57,5.13,-0.58,0.16,0.00,3.15,0.25,3.19,-7.49,-31.06,255.52
 58.00,2.60,0.11,5.27,6.29,0.48,-1.11,0.00,3.52,0.31,2.42,-5.65,-19.91,431.15
 59.00,2.60,0.28,6.27,6.06,-1.48,0.79,0.02,3.15,0.25,3.19,0.72,-4.79,198.75
 60.00,2.60,0.23,5.36,7.64,0.85,-1.43,0.01,3.82,0.37,2.57,5.53,20.63,439.91
 61.00,2.60,0.08,6.38,6.10,0.53,-0.21,0.00,3.45,0.30,2.50,4.89,31.93,-78.45
 62.00,2.60,0.39,4.88,7.23,0.74,-0.32,0.01,3.73,0.35,2.33,0.10,31.42,-69.70
 63.00,2.54,0.23,5.47,8.36,0.37,-1.75,0.00,4.07,0.42,1.98,-4.06,39.73,-222.87
 64.00,2.46,0.23,4.06,9.10,2.54,-2.91,0.07,3.43,0.30,1.79,-3.86,47.93,-378.49
 65.00,2.44,0.30,4.85,18.27,4.54,-2.75,0.21,3.99,0.40,1.83,-0.19,41.83,-160.80
 66.00,2.46,0.34,5.69,6.98,-1.90,0.48,0.04,3.21,0.26,3.13,3.84,36.96,-287.49
 67.00,2.49,0.17,4.97,16.70,4.12,-3.28,0.18,4.05,0.41,1.79,3.74,44.02,205.91
 68.00,2.51,0.28,5.65,15.47,3.65,-1.59,0.14,4.20,0.45,2.05,0.28,34.11,83.34
 69.00,2.50,0.27,6.15,5.03,-0.63,-0.21,0.00,3.11,0.24,2.74,-2.22,21.13,120.59
 70.00,2.45,0.32,4.74,16.68,3.96,-2.49,0.16,4.20,0.45,1.74,-3.31,14.96,129.83
 71.00,2.37,0.32,5.35,9.85,2.12,-2.17,0.05,3.90,0.38,1.59,-1.26,18.26,-273.56
 72.00,2.33,0.34,6.15,6.91,1.01,-1.59,0.01,3.58,0.32,2.05,1.94,4.62,-27.25
 73.00,2.33,0.33,5.53,9.09,2.38,-1.48,0.06,3.54,0.32,1.83,2.19,-3.69,-108.50
 74.00,2.38,0.25,4.59,11.43,2.43,-2.54,0.06,4.12,0.43,1.90,0.44,-6.74,9.06
 75.00,2.44,0.42,6.68,7.45,-2.17,1.64,0.05,3.19,0.26,3.09,-1.07,-10.55,57.00
 76.00,2.50,0.33,5.05,10.04,1.96,-1.59,0.04,4.03,0.41,2.16,-1.54,-15.12,8.00
 77.00,2.51,0.14,5.64,5.55,0.26,-0.11,0.00,3.32,0.28,2.24,-0.71,-14.52,71.54
 78.00,2.47,0.24,4.51,9.12,2.33,-2.96,0.06,3.58,0.32,1.72,0.46,-13.02,21.80
 79.00,2.42,0.36,4.19,20.48,5.12,-3.01,0.27,3.84,0.37,1.85,0.97,-11.67,20.89
 80.00,2.38,0.16,4.68,11.70,3.59,-1.48,0.13,3.24,0.26,1.98,1.73,-11.38,47.25
