 Iteration,Theta,Accuracy (cm),Time (sec),Performance,XTrunkComp (cm),YTrunkComp (cm),ZTrunkComp (cm),XShoulerComp (cm),YShoulerComp (cm),ZShoulerComp (cm),FilterOut,du_hat,ddu_hat
 0.00,1.00,0.94,4.61,131.10,15.58,-5.09,2.78,4.43,0.58,1.69,0.00,0.00,0.00
 1.00,1.00,0.46,2.62,83.79,12.03,-2.50,1.64,4.79,0.68,1.28,10.26,0.00,0.00
 2.00,1.02,0.47,2.48,84.41,12.21,-1.52,1.69,4.43,0.58,1.22,16.55,36.03,-2009.13
 3.00,1.04,0.60,2.71,34.65,7.57,-2.11,0.64,3.46,0.35,0.79,3.82,65.98,-728.82
 4.00,1.08,0.45,2.81,57.30,10.31,-3.68,1.20,2.87,0.24,2.08,-14.08,6.35,-2017.80
 5.00,1.10,0.40,2.41,46.85,8.83,-1.62,0.87,3.97,0.46,1.30,-19.07,-42.31,243.06
 6.00,1.06,0.38,2.96,40.26,7.62,-0.88,0.65,4.74,0.66,1.05,-5.74,-30.40,747.42
 7.00,1.00,0.43,3.23,77.38,11.79,-2.11,1.57,3.97,0.46,1.80,9.15,-80.58,1177.89
 8.00,0.96,0.36,2.73,76.82,11.84,-3.48,1.58,3.68,0.40,1.26,16.15,-120.18,1406.49
 9.00,1.04,0.57,2.83,54.98,9.64,-3.29,1.05,4.12,0.50,1.73,10.88,-129.02,-628.85
 10.00,1.15,0.21,2.09,38.49,7.81,-3.04,0.68,3.99,0.47,1.47,-4.78,-111.67,-494.29
 11.00,1.30,0.46,2.31,21.65,4.95,-0.98,0.27,4.34,0.55,1.15,-16.83,-137.87,-1341.03
 12.00,1.45,0.19,3.29,9.72,1.47,0.10,0.02,4.15,0.51,1.65,-14.98,-168.22,-1970.56
 13.00,1.54,2.66,3.67,8.14,-0.25,-0.34,0.00,4.03,0.48,1.65,-2.65,-146.41,-443.94
 14.00,1.57,0.38,3.08,12.89,1.03,0.54,0.01,4.97,0.73,2.64,8.99,-121.77,-749.41
 15.00,1.59,0.38,3.15,13.51,0.34,0.20,0.00,5.19,0.80,3.00,11.25,-127.22,338.34
 16.00,1.62,1.06,2.40,7.41,0.44,0.49,0.00,3.83,0.43,2.27,3.79,-116.37,585.86
 17.00,1.67,0.52,2.72,8.89,0.98,-1.03,0.01,4.10,0.49,2.14,-6.22,-81.42,422.26
 18.00,1.72,0.46,3.02,6.72,-0.98,1.18,0.01,3.53,0.37,3.64,-9.62,-64.66,853.36
 19.00,1.81,0.41,3.46,10.51,-1.37,0.39,0.02,4.37,0.56,2.38,-4.18,-57.18,146.61
 20.00,1.86,1.87,2.29,14.65,-3.14,1.18,0.11,4.41,0.57,2.90,4.17,-28.45,327.89
 21.00,1.86,0.37,3.79,10.36,2.26,-1.23,0.06,3.95,0.46,2.57,8.21,-1.49,-260.59
 22.00,1.81,0.35,4.51,15.04,-4.56,3.87,0.23,3.05,0.27,2.53,4.47,2.64,-510.21
 23.00,1.74,0.28,3.04,6.16,0.93,1.42,0.01,3.38,0.34,2.53,-2.54,16.98,-398.36
 24.00,1.68,0.28,4.16,5.00,0.49,0.59,0.00,3.13,0.29,2.33,-6.57,38.73,-612.05
 25.00,1.65,0.38,4.04,7.25,-1.82,-2.80,0.04,3.35,0.33,1.28,-5.05,46.13,61.40
 26.00,1.66,0.30,3.23,16.04,-3.53,-0.88,0.14,4.43,0.58,1.47,0.71,41.06,96.92
 27.00,1.69,0.54,2.96,6.40,-0.98,0.34,0.01,3.44,0.35,2.38,5.81,50.56,376.50
 28.00,1.73,1.06,2.54,11.67,-3.33,0.44,0.12,3.49,0.36,2.49,5.00,62.88,660.06
 29.00,1.70,0.32,2.84,12.10,-2.75,0.64,0.08,4.08,0.49,3.07,-0.37,53.52,347.28
 30.00,1.66,0.29,2.98,9.29,-0.49,1.47,0.00,4.28,0.54,1.69,-4.14,47.25,536.19
 31.00,1.57,0.36,2.88,11.86,-1.57,-0.39,0.03,4.61,0.63,1.24,-3.90,46.59,111.86
 32.00,1.50,0.30,3.52,19.12,2.21,-0.15,0.05,5.78,1.00,0.66,-0.33,38.82,8.30
 33.00,1.49,0.38,3.29,13.47,0.64,0.05,0.00,5.15,0.79,0.79,3.74,23.39,-208.76
 34.00,1.52,0.41,4.28,11.45,1.52,0.05,0.03,4.54,0.61,1.24,4.05,19.33,-455.37
 35.00,1.57,0.71,4.37,11.91,-2.31,2.01,0.06,4.30,0.54,0.94,0.19,14.26,-218.33
 36.00,1.61,0.38,3.01,14.19,1.96,0.00,0.04,4.95,0.73,1.60,-3.35,-3.57,-420.44
 37.00,1.62,0.51,3.62,7.88,0.64,1.37,0.00,3.92,0.45,1.77,-3.21,-13.36,-34.68
 38.00,1.59,0.35,2.56,13.79,0.34,0.74,0.00,5.24,0.82,0.47,-0.62,-14.87,-44.73
 39.00,1.54,0.19,3.34,14.43,-0.25,1.33,0.00,5.37,0.86,0.83,2.07,-20.09,16.68
 40.00,1.52,0.49,2.75,7.18,-0.98,0.25,0.01,3.66,0.39,1.82,3.05,-27.20,167.97
 41.00,1.53,0.41,2.07,5.93,1.52,-2.75,0.03,3.09,0.28,1.20,0.71,-26.45,-57.19
