 Iteration,Theta,Accuracy (cm),Time (sec),Performance,XTrunkComp (cm),YTrunkComp (cm),ZTrunkComp (cm),XShoulerComp (cm),YShoulerComp (cm),ZShoulerComp (cm),FilterOut,du_hat,ddu_hat
 0.00,1.00,0.56,5.94,55.14,10.12,-3.58,1.15,2.79,0.22,-0.84,0.00,0.00,0.00
 1.00,1.00,0.41,5.50,79.87,12.12,-2.85,1.66,3.58,0.37,-0.38,4.31,0.00,0.00
 2.00,1.03,0.34,4.68,59.54,10.17,-3.29,1.16,3.96,0.45,-0.36,10.45,15.15,-845.02
 3.00,1.06,0.43,4.56,64.30,10.60,-2.01,1.27,4.03,0.47,-0.08,6.89,55.49,478.30
 4.00,1.08,0.46,4.48,52.00,9.60,-2.26,1.04,3.45,0.34,-0.06,-3.32,36.58,-147.38
 5.00,1.08,0.31,5.74,56.63,10.17,-2.16,1.16,3.13,0.28,0.21,-9.64,8.18,422.60
 6.00,1.04,0.46,4.45,48.66,8.88,-1.62,0.88,4.31,0.54,-0.13,-7.19,13.08,815.65
 7.00,0.98,0.38,4.53,69.59,10.79,-3.19,1.31,4.77,0.66,0.02,0.86,3.95,244.21
 8.00,0.93,0.43,5.42,81.07,12.26,-2.21,1.70,3.43,0.34,-0.25,7.92,-27.86,577.99
 9.00,0.96,0.51,4.15,88.21,12.97,-2.94,1.91,2.87,0.24,0.46,9.53,-44.56,-315.69
 10.00,1.03,0.44,4.37,127.54,15.48,-3.87,2.75,3.92,0.44,-0.29,4.06,-35.00,-668.13
 11.00,1.11,0.29,4.13,76.87,12.03,-2.01,1.64,3.02,0.26,0.15,-0.45,-38.88,-473.77
 12.00,1.17,0.32,3.82,63.94,10.98,-2.40,1.36,2.70,0.21,0.34,-4.74,-32.64,-138.39
 13.00,1.17,0.46,4.16,33.15,7.96,-0.98,0.71,1.72,0.08,0.74,-9.22,-41.70,856.65
 14.00,1.13,0.49,4.01,41.21,8.44,-1.57,0.80,3.34,0.32,0.59,-8.41,-21.28,1553.72
 15.00,1.07,0.49,3.94,100.55,14.00,-2.06,2.23,2.27,0.15,0.55,-2.19,2.68,444.23
 16.00,1.03,0.34,4.19,89.20,12.69,-2.36,1.83,4.18,0.51,0.88,10.23,-9.15,571.10
 17.00,1.05,0.41,3.94,76.40,11.84,-1.77,1.58,3.56,0.37,0.40,15.57,-43.05,-1549.97
 18.00,1.12,0.30,4.08,81.80,12.26,-3.68,1.70,3.64,0.38,0.23,4.65,-29.60,-1704.15
 19.00,1.21,0.36,3.45,44.79,8.83,-0.88,0.87,3.41,0.34,0.78,-9.18,-58.93,-1491.21
 20.00,1.32,0.44,3.19,40.77,8.78,0.25,0.86,2.11,0.13,0.67,-15.34,-105.94,-1825.91
 21.00,1.39,0.44,3.42,26.37,6.89,0.69,0.53,2.28,0.15,0.92,-10.42,-115.44,313.68
 22.00,1.41,0.81,3.22,20.61,6.17,1.13,0.42,1.79,0.09,1.07,1.35,-99.00,308.56
 23.00,1.42,0.34,3.16,4.86,2.45,1.86,0.07,1.92,0.11,1.03,8.53,-106.25,662.19
 24.00,1.45,0.34,3.23,2.83,1.91,1.52,0.04,1.41,0.06,1.89,5.49,-108.19,777.49
 25.00,1.50,0.38,2.81,1.22,0.00,0.74,0.00,1.56,0.07,2.00,-3.24,-87.03,400.01
 26.00,1.59,0.30,2.88,0.77,-0.83,2.01,0.01,0.92,0.02,1.89,-8.07,-76.07,749.07
 27.00,1.69,0.26,3.82,14.89,4.61,0.69,0.24,2.93,0.25,1.53,-5.29,-69.06,157.28
 28.00,1.77,0.29,3.09,4.92,2.11,2.21,0.05,2.32,0.15,1.47,2.72,-45.04,241.41
 29.00,1.78,0.38,3.13,6.21,2.75,2.55,0.08,2.21,0.14,1.28,7.44,-16.43,-508.08
 30.00,1.74,0.27,3.26,15.07,4.80,2.99,0.26,2.66,0.20,1.53,4.27,-9.31,-601.09
 31.00,1.67,0.40,3.18,6.53,2.40,2.31,0.06,2.70,0.21,1.45,-1.31,6.96,-417.85
