Iteration,IMUNo,OrientationX (deg),OrientationY,OrientationZ,GyroX (20rad/sec),GyroY,GyroZ,Elbow_Pos (rad),Time (sec)
67.00,0.00,262.94,1.69,-96.75,-0.25,0.44,0.19,0.02,1.02
67.00,1.00,258.00,1.00,-64.69,-0.31,0.25,0.25,0.02,1.02
67.00,2.00,338.31,-25.81,5.75,-0.75,-0.12,0.12,0.02,1.02
67.00,0.00,262.94,1.69,-96.75,-0.12,0.19,-0.12,0.03,1.04
67.00,1.00,258.00,1.00,-64.69,-0.19,0.25,0.44,0.03,1.04
67.00,2.00,338.31,-25.81,5.75,-0.44,-0.19,0.00,0.03,1.04
67.00,0.00,262.94,1.69,-96.75,0.19,0.06,-0.06,0.04,1.06
67.00,1.00,258.00,1.00,-64.69,0.06,0.00,0.25,0.04,1.06
67.00,2.00,338.31,-25.81,5.75,-0.06,0.12,0.19,0.04,1.06
67.00,0.00,262.94,1.69,-96.75,-0.19,-0.31,-0.12,0.04,1.08
67.00,1.00,258.00,1.00,-64.69,0.06,0.25,0.31,0.04,1.08
67.00,2.00,338.31,-25.81,5.75,-0.12,0.12,0.06,0.04,1.08
67.00,0.00,262.94,1.69,-96.75,0.19,0.38,0.25,0.05,1.10
67.00,1.00,258.00,1.00,-64.69,-0.06,0.06,0.19,0.05,1.10
67.00,2.00,338.31,-25.81,5.75,-0.19,-0.06,0.25,0.05,1.10
67.00,0.00,262.88,1.69,-96.75,-0.19,0.75,0.12,0.06,1.12
67.00,1.00,258.00,1.00,-64.69,0.06,0.00,0.38,0.06,1.12
67.00,2.00,338.31,-25.81,5.75,-0.56,0.19,0.06,0.06,1.12
67.00,0.00,262.88,1.69,-96.75,-0.12,0.56,0.25,0.08,1.14
67.00,1.00,258.00,1.00,-64.69,-0.25,0.38,0.31,0.08,1.14
67.00,2.00,338.31,-25.81,5.75,-0.50,-0.06,0.19,0.08,1.14
67.00,0.00,262.88,1.69,-96.75,-0.56,0.62,0.31,0.08,1.16
67.00,1.00,258.00,1.00,-64.69,-0.31,0.50,0.44,0.08,1.16
67.00,2.00,338.31,-25.81,5.75,-0.62,-0.19,0.38,0.08,1.16
67.00,0.00,262.88,1.69,-96.75,-0.50,0.69,0.31,0.09,1.18
67.00,1.00,258.00,1.00,-64.69,-0.19,0.31,0.25,0.09,1.18
67.00,2.00,338.31,-25.81,5.75,-0.69,-0.12,0.31,0.09,1.18
67.00,0.00,262.88,1.69,-96.69,-0.62,0.38,0.25,0.07,1.20
67.00,1.00,258.00,1.00,-64.69,-0.12,0.50,0.19,0.07,1.20
67.00,2.00,338.31,-25.81,5.75,-0.19,0.25,0.06,0.07,1.20
67.00,0.00,262.88,1.69,-96.69,0.00,0.44,0.50,0.07,1.22
67.00,1.00,258.00,1.00,-64.69,0.00,0.81,0.25,0.07,1.22
67.00,2.00,338.31,-25.81,5.75,0.00,0.62,0.00,0.07,1.22
67.00,0.00,262.81,1.69,-96.69,-0.19,0.31,0.62,0.06,1.24
67.00,1.00,258.00,1.00,-64.69,-0.31,1.00,0.31,0.06,1.24
67.00,2.00,338.31,-25.88,5.75,0.12,1.44,-0.12,0.06,1.24
67.00,0.00,262.81,1.69,-96.75,-0.38,-0.12,1.56,-0.05,1.26
67.00,1.00,257.94,1.00,-64.62,-1.31,1.69,0.19,-0.05,1.26
67.00,2.00,338.31,-25.88,5.69,2.56,1.94,-0.06,-0.05,1.26
67.00,0.00,262.75,1.75,-96.75,0.31,0.31,1.81,-0.13,1.28
67.00,1.00,257.94,0.94,-64.62,-2.44,3.06,0.06,-0.13,1.28
67.00,2.00,338.31,-25.94,5.69,2.75,1.31,0.56,-0.13,1.28
67.00,0.00,262.69,1.81,-96.75,1.12,1.88,3.38,-0.11,1.30
67.00,1.00,257.88,0.94,-64.56,-3.25,3.00,-0.06,-0.11,1.30
67.00,2.00,338.31,-25.94,5.62,0.56,2.56,1.94,-0.11,1.30
67.00,0.00,262.50,1.94,-96.75,2.56,4.50,6.31,-0.01,1.32
67.00,1.00,257.81,0.94,-64.44,-4.38,3.88,0.38,-0.01,1.32
67.00,2.00,338.25,-26.06,5.56,-0.25,3.19,2.94,-0.01,1.32
67.00,0.00,262.19,2.12,-96.88,4.44,7.12,8.81,0.12,1.34
67.00,1.00,257.75,0.88,-64.38,-5.31,5.94,0.50,0.12,1.34
67.00,2.00,338.12,-26.06,5.44,0.69,1.38,4.94,0.12,1.34
67.00,0.00,261.81,2.31,-96.94,6.69,8.38,11.12,0.33,1.36
67.00,1.00,257.69,0.81,-64.25,-5.44,5.81,0.44,0.33,1.36
67.00,2.00,338.00,-26.12,5.38,1.00,1.56,6.50,0.33,1.36
67.00,0.00,261.31,2.56,-97.12,9.06,10.31,13.56,0.65,1.38
67.00,1.00,257.62,0.75,-64.19,-5.94,7.19,0.69,0.65,1.38
67.00,2.00,337.88,-26.19,5.25,-0.06,3.19,7.50,0.65,1.38
67.00,0.00,261.06,2.75,-97.19,11.94,11.94,15.44,1.12,1.40
67.00,1.00,257.50,0.75,-64.06,-7.38,8.19,1.00,1.12,1.40
67.00,2.00,337.69,-26.31,5.06,-1.19,1.81,9.50,1.12,1.40
67.00,0.00,259.88,3.50,-98.19,15.12,11.31,17.00,1.70,1.42
67.00,1.00,257.31,0.69,-63.94,-7.31,9.06,1.69,1.70,1.42
67.00,2.00,337.44,-26.31,4.94,-1.00,0.75,11.50,1.70,1.42
67.00,0.00,259.50,3.75,-98.50,18.62,8.81,18.69,2.40,1.44
67.00,1.00,257.19,0.69,-63.81,-7.50,10.56,2.12,2.40,1.44
67.00,2.00,337.19,-26.38,4.75,-0.81,1.50,12.81,2.40,1.44
67.00,0.00,258.69,4.31,-99.25,22.06,7.38,20.75,3.29,1.46
67.00,1.00,256.94,0.62,-63.69,-7.94,12.75,3.06,3.29,1.46
67.00,2.00,336.88,-26.44,4.56,-2.88,1.94,14.12,3.29,1.46
67.00,0.00,258.00,4.81,-99.81,25.50,8.25,22.44,4.37,1.48
67.00,1.00,256.69,0.62,-63.56,-8.44,13.75,4.19,4.37,1.48
67.00,2.00,336.56,-26.50,4.44,-4.56,0.81,16.19,4.37,1.48
67.00,0.00,257.31,5.31,-100.31,26.75,9.31,22.81,5.51,1.50
67.00,1.00,256.44,0.62,-63.44,-8.69,15.12,4.75,5.51,1.50
67.00,2.00,336.19,-26.50,4.25,-4.94,0.50,18.06,5.51,1.50
67.00,0.00,256.50,5.81,-100.94,29.44,10.75,21.56,6.78,1.52
67.00,1.00,256.12,0.56,-63.31,-8.62,16.44,5.44,6.78,1.52
67.00,2.00,335.75,-26.56,4.12,-5.94,1.06,19.94,6.78,1.52
67.00,0.00,255.69,6.31,-101.62,31.50,11.25,22.62,8.16,1.54
67.00,1.00,255.75,0.56,-63.19,-9.50,18.56,6.25,8.16,1.54
67.00,2.00,335.31,-26.62,3.94,-6.88,1.44,21.19,8.16,1.54
67.00,0.00,254.81,6.81,-102.31,32.44,12.19,23.44,9.65,1.56
67.00,1.00,255.38,0.50,-63.00,-10.56,19.62,7.19,9.65,1.56
67.00,2.00,334.81,-26.69,3.81,-9.19,0.62,23.25,9.65,1.56
67.00,0.00,253.81,7.38,-103.00,32.62,17.44,22.56,11.17,1.58
67.00,1.00,255.00,0.50,-62.81,-10.56,19.75,8.06,11.17,1.58
67.00,2.00,334.25,-26.69,3.75,-9.81,0.00,24.38,11.17,1.58
67.00,0.00,252.81,7.88,-103.62,32.69,18.19,22.19,12.72,1.60
67.00,1.00,254.56,0.44,-62.56,-10.50,20.62,8.62,12.72,1.60
67.00,2.00,333.75,-26.75,3.69,-10.44,-0.25,25.19,12.72,1.60
67.00,0.00,251.81,8.44,-104.25,33.81,19.75,23.12,14.33,1.62
67.00,1.00,254.12,0.44,-62.38,-11.31,22.19,8.94,14.33,1.62
67.00,2.00,333.19,-26.75,3.62,-11.06,-0.25,25.31,14.33,1.62
67.00,0.00,250.69,8.94,-104.81,33.12,20.75,22.62,15.97,1.64
