 Iteration,Theta,Accuracy (cm),Time (sec),Performance,XTrunkComp (cm),YTrunkComp (cm),ZTrunkComp (cm),XShoulerComp (cm),YShoulerComp (cm),ZShoulerComp (cm),FilterOut,du_hat,ddu_hat
 0.00,1.00,0.43,2.77,127.50,15.40,-7.19,2.48,4.24,0.49,0.95,0.00,0.00,0.00
 1.00,1.00,0.30,2.15,131.64,15.35,-6.61,2.46,5.27,0.77,0.73,9.98,0.00,0.00
 2.00,1.02,0.37,1.55,176.88,18.01,-6.08,3.43,5.43,0.81,0.67,20.02,35.04,-1954.04
 3.00,1.02,0.30,1.71,175.97,18.11,-5.60,3.47,4.91,0.66,0.59,14.96,95.34,173.14
 4.00,1.01,0.38,1.54,177.65,18.50,-6.34,3.63,3.59,0.35,0.71,1.15,85.22,-135.76
 5.00,0.98,0.49,1.84,205.82,19.83,-7.19,4.19,4.28,0.50,0.83,-11.43,42.58,215.66
 6.00,0.94,0.32,1.77,154.44,16.86,-7.61,2.99,4.96,0.68,0.20,-9.78,45.74,1292.83
 7.00,0.88,0.60,1.65,188.38,18.65,-7.98,3.69,5.37,0.80,0.67,-1.70,16.98,959.20
 8.00,0.84,0.45,2.13,188.88,18.90,-8.14,3.79,4.53,0.56,1.03,5.23,1.93,517.78
 9.00,0.85,0.31,2.12,193.21,19.20,-7.14,3.92,4.24,0.49,0.91,9.22,-21.09,-286.87
 10.00,0.91,0.34,1.90,160.18,17.11,-9.51,3.08,5.25,0.76,0.73,4.96,-19.78,-857.07
 11.00,0.98,0.36,2.10,147.99,16.56,-7.77,2.88,4.67,0.60,0.61,-5.20,-29.33,-795.30
 12.00,1.07,0.43,1.36,151.17,16.66,-7.82,2.92,4.98,0.68,1.07,-12.78,-62.20,-1361.17
 13.00,1.11,0.19,1.83,120.76,14.63,-6.93,2.24,5.23,0.76,0.73,-8.78,-77.36,274.16
 14.00,1.12,0.30,1.60,131.59,15.29,-6.87,2.45,5.41,0.81,0.65,0.10,-70.58,-56.80
 15.00,1.10,0.24,1.50,111.46,13.97,-6.77,2.03,5.27,0.77,0.79,5.97,-72.98,-77.49
 16.00,1.11,0.32,1.53,126.32,15.19,-7.40,2.41,4.67,0.60,0.63,5.00,-84.41,268.07
 17.00,1.16,0.32,1.52,103.43,13.51,-6.24,1.90,4.94,0.67,0.75,-0.57,-70.02,131.61
 18.00,1.24,0.36,1.54,101.85,13.51,-6.24,1.90,4.61,0.58,0.65,-5.40,-58.21,305.16
 19.00,1.33,0.42,3.01,107.05,13.97,-6.02,2.03,4.36,0.52,0.59,-6.70,-57.65,-136.26
 20.00,1.41,0.39,1.92,107.92,13.97,-5.65,2.03,4.55,0.57,0.56,-1.69,-58.04,-412.15
 21.00,1.43,0.32,1.65,94.95,13.20,-5.87,1.81,3.96,0.43,0.63,4.48,-37.00,-652.77
 22.00,1.41,0.27,1.84,124.78,15.09,-6.66,2.38,4.67,0.60,0.52,4.84,-30.45,-830.66
 23.00,1.37,0.50,1.68,96.04,12.94,-6.08,1.74,4.96,0.68,0.61,2.26,-22.80,-398.33
 24.00,1.33,0.32,1.67,106.23,13.87,-6.55,2.00,4.50,0.55,0.56,-1.80,-15.40,-135.65
 25.00,1.33,0.45,1.45,76.24,11.44,-5.18,1.35,4.65,0.59,0.54,-5.11,-0.35,385.35
 26.00,1.37,0.48,1.85,68.85,10.92,-6.34,1.23,4.30,0.51,0.65,-5.01,0.30,641.14
 27.00,1.43,0.29,3.50,87.54,12.42,-4.91,1.60,4.55,0.57,0.91,-3.50,-7.33,93.06
 28.00,1.49,0.51,2.34,77.73,11.85,-5.65,1.46,3.87,0.41,0.85,1.70,-13.88,-209.36
 29.00,1.48,0.39,2.10,98.15,13.09,-5.87,1.78,4.98,0.68,0.44,5.30,2.32,-844.36
 30.00,1.44,0.36,1.61,87.29,12.68,-5.39,1.67,3.71,0.38,0.81,4.56,2.07,-867.66
 31.00,1.39,0.34,1.81,131.10,15.70,-5.02,2.58,3.96,0.43,1.09,0.72,-7.40,-81.45
 32.00,1.34,0.28,1.55,118.64,14.84,-5.76,2.30,4.14,0.47,1.25,-0.57,6.70,-198.30
 33.00,1.33,0.40,1.64,102.55,13.45,-6.45,1.88,4.91,0.66,0.59,1.29,8.85,-396.46
 34.00,1.37,0.30,1.48,79.82,11.54,-5.71,1.38,5.14,0.73,0.54,-0.50,15.51,-529.07
 35.00,1.43,0.29,1.71,84.78,11.91,-4.32,1.47,5.27,0.77,0.42,-4.61,-4.42,-890.34
 36.00,1.49,2.46,1.29,72.39,11.28,-3.95,1.32,4.18,0.48,0.87,-5.46,-30.90,-1193.05
 37.00,1.51,0.38,2.36,72.88,10.97,-4.16,1.24,5.04,0.70,0.56,-2.02,-32.95,-305.48
 38.00,1.49,0.43,1.84,49.27,8.30,-4.16,0.71,5.45,0.82,0.40,1.71,-31.10,-423.35
 39.00,1.45,0.34,1.59,69.84,10.61,-4.70,1.16,5.22,0.75,0.36,1.56,-37.15,-30.63
 40.00,1.43,0.49,1.64,79.82,11.49,-4.80,1.37,5.25,0.76,0.54,-0.16,-25.65,-179.61
 41.00,1.44,0.32,1.63,95.47,12.53,-3.84,1.63,5.83,0.94,0.48,0.92,-17.38,-182.38
 42.00,1.48,0.45,1.80,93.77,12.63,-4.16,1.66,5.29,0.77,0.67,3.04,-4.24,-565.11
 43.00,1.53,0.42,1.78,82.27,11.59,-2.67,1.39,5.49,0.83,0.83,3.28,15.57,-27.49
 44.00,1.56,0.51,1.64,42.17,7.61,-2.78,0.59,5.14,0.73,0.34,-0.40,21.50,44.71
 45.00,1.56,0.31,1.57,40.07,7.61,-3.31,0.59,4.71,0.61,0.26,-7.19,9.29,489.12
 46.00,1.52,0.30,1.77,55.81,9.09,-2.40,0.85,5.39,0.80,0.28,-9.97,22.70,1261.74
 47.00,1.43,0.24,1.84,45.80,8.30,-5.23,0.71,4.77,0.63,0.34,-2.58,40.47,180.32
 48.00,1.39,0.30,1.49,91.08,12.22,-5.65,1.55,5.74,0.91,0.46,6.34,3.87,843.65
 49.00,1.40,0.41,1.49,78.46,11.54,-5.23,1.38,4.87,0.65,0.40,11.12,-19.93,29.62
 50.00,1.45,0.38,1.62,55.77,8.93,-3.31,0.82,5.64,0.88,0.26,8.04,-8.08,-725.15
 51.00,1.52,1.00,1.25,73.38,10.97,-4.22,1.24,5.14,0.73,0.52,-4.31,-11.87,-316.58
 52.00,1.60,0.36,2.08,75.95,11.49,-3.90,1.37,4.46,0.54,0.30,-11.38,-64.37,-1389.28
 53.00,1.65,0.57,1.97,45.94,8.46,-3.36,0.74,4.51,0.56,0.69,-5.87,-74.77,-548.48
