Iteration,IMUNo,OrientationX (deg),OrientationY,OrientationZ,GyroX (20rad/sec),GyroY,GyroZ,Elbow_Pos (rad),Time (sec)
60.00,0.00,255.69,3.75,-95.44,-0.31,1.00,0.50,0.00,1.02
60.00,1.00,256.06,2.06,-59.25,-0.06,0.31,0.25,0.00,1.02
60.00,2.00,339.81,-23.94,10.06,-0.31,-0.06,0.25,0.00,1.02
60.00,0.00,255.62,3.75,-95.44,-0.06,0.12,0.38,0.00,1.04
60.00,1.00,256.06,2.06,-59.25,0.06,0.50,0.12,0.00,1.04
60.00,2.00,339.81,-23.94,10.06,-0.12,-0.19,0.06,0.00,1.04
60.00,0.00,255.62,3.75,-95.44,-0.12,-0.06,0.31,-0.01,1.06
60.00,1.00,256.06,2.06,-59.25,0.00,0.19,0.00,-0.01,1.06
60.00,2.00,339.81,-23.94,10.06,0.12,-0.50,0.00,-0.01,1.06
60.00,0.00,255.62,3.75,-95.44,-0.31,0.12,0.12,-0.02,1.08
60.00,1.00,256.06,2.06,-59.25,0.06,-0.12,0.06,-0.02,1.08
60.00,2.00,339.81,-23.94,10.06,-0.06,-0.25,0.06,-0.02,1.08
60.00,0.00,255.62,3.75,-95.44,-0.19,0.56,0.19,-0.02,1.10
60.00,1.00,256.06,2.06,-59.25,-0.44,-0.06,0.25,-0.02,1.10
60.00,2.00,339.81,-23.94,10.06,-0.12,-0.25,0.00,-0.02,1.10
60.00,0.00,255.62,3.75,-95.44,0.00,0.69,0.19,0.00,1.12
60.00,1.00,256.06,2.06,-59.25,-0.56,-0.19,0.25,0.00,1.12
60.00,2.00,339.81,-23.94,10.06,-0.38,-0.06,-0.06,0.00,1.12
60.00,0.00,255.62,3.75,-95.44,0.25,0.56,0.06,0.01,1.14
60.00,1.00,256.06,2.06,-59.25,-0.50,-0.12,0.31,0.01,1.14
60.00,2.00,339.81,-23.94,10.06,-0.06,0.06,-0.25,0.01,1.14
60.00,0.00,255.62,3.75,-95.44,0.31,0.25,0.12,0.02,1.16
60.00,1.00,256.06,2.06,-59.25,-0.44,0.19,0.12,0.02,1.16
60.00,2.00,339.81,-23.94,10.06,0.06,0.12,-0.19,0.02,1.16
60.00,0.00,255.62,3.75,-95.44,0.38,0.12,0.00,0.03,1.18
60.00,1.00,256.06,2.06,-59.25,0.06,0.25,0.19,0.03,1.18
60.00,2.00,339.81,-23.94,10.06,0.12,-0.12,-0.12,0.03,1.18
60.00,0.00,255.62,3.75,-95.44,0.31,0.25,-0.06,0.04,1.20
60.00,1.00,256.06,2.06,-59.25,-0.12,0.12,-0.06,0.04,1.20
60.00,2.00,339.81,-23.94,10.06,-0.06,0.31,-0.19,0.04,1.20
60.00,0.00,255.62,3.75,-95.50,0.62,-0.31,-0.06,0.06,1.22
60.00,1.00,256.06,2.06,-59.25,0.06,0.50,0.12,0.06,1.22
60.00,2.00,339.81,-23.94,10.06,0.12,1.19,-0.12,0.06,1.22
60.00,0.00,255.62,3.75,-95.50,0.56,-0.69,0.31,0.00,1.24
60.00,1.00,256.06,2.06,-59.25,-0.06,1.31,0.25,0.00,1.24
60.00,2.00,339.81,-24.00,10.06,2.25,3.50,-0.31,0.00,1.24
60.00,0.00,255.69,3.75,-95.50,0.75,-2.81,1.25,-0.24,1.26
60.00,1.00,256.00,2.06,-59.25,-2.50,3.25,0.12,-0.24,1.26
60.00,2.00,339.88,-24.12,9.94,7.19,4.50,-0.62,-0.24,1.26
60.00,0.00,255.69,3.81,-95.50,0.88,-2.94,2.19,-0.39,1.28
60.00,1.00,255.94,2.00,-59.25,-3.62,4.38,0.19,-0.39,1.28
60.00,2.00,339.88,-24.19,9.81,4.88,4.50,1.00,-0.39,1.28
60.00,0.00,255.62,3.88,-95.56,2.44,0.00,4.25,-0.35,1.30
60.00,1.00,255.88,2.00,-59.25,-3.69,4.69,1.00,-0.35,1.30
60.00,2.00,339.88,-24.31,9.69,1.31,4.19,2.50,-0.35,1.30
60.00,0.00,255.44,4.00,-95.62,5.75,3.81,7.00,-0.12,1.32
60.00,1.00,255.75,2.00,-59.19,-4.31,5.56,1.44,-0.12,1.32
60.00,2.00,339.75,-24.38,9.56,-0.44,1.62,5.06,-0.12,1.32
60.00,0.00,255.06,4.19,-95.81,10.56,8.88,12.12,0.27,1.34
60.00,1.00,255.69,2.00,-59.12,-4.00,5.88,1.75,0.27,1.34
60.00,2.00,339.62,-24.44,9.44,0.06,0.88,6.75,0.27,1.34
60.00,0.00,254.44,4.62,-96.19,11.69,10.19,13.81,0.66,1.36
60.00,1.00,255.56,2.00,-59.12,-4.94,7.12,2.12,0.66,1.36
60.00,2.00,339.44,-24.50,9.25,1.31,1.00,8.19,0.66,1.36
60.00,0.00,253.50,5.19,-96.88,14.12,14.00,16.94,1.15,1.38
60.00,1.00,255.38,2.00,-59.06,-5.31,8.25,2.81,1.15,1.38
60.00,2.00,339.25,-24.56,9.00,0.81,1.19,10.38,1.15,1.38
60.00,0.00,252.56,5.81,-97.44,15.44,15.94,17.56,1.77,1.40
60.00,1.00,255.19,2.00,-59.00,-5.75,10.19,4.19,1.77,1.40
60.00,2.00,339.00,-24.69,8.75,-1.25,0.19,12.81,1.77,1.40
60.00,0.00,251.62,6.31,-98.06,17.06,16.69,18.50,2.52,1.42
60.00,1.00,254.94,2.00,-58.94,-5.81,11.44,5.12,2.52,1.42
60.00,2.00,338.62,-24.75,8.56,-3.19,-0.69,15.38,2.52,1.42
60.00,0.00,251.19,6.56,-98.31,18.81,16.56,19.25,3.38,1.44
60.00,1.00,254.69,2.00,-58.88,-6.81,13.44,6.50,3.38,1.44
60.00,2.00,338.25,-24.75,8.38,-4.25,-0.94,17.25,3.38,1.44
60.00,0.00,249.94,7.25,-99.06,21.50,14.88,21.81,4.39,1.46
60.00,1.00,254.38,2.06,-58.75,-7.12,15.06,7.69,4.39,1.46
60.00,2.00,337.88,-24.81,8.25,-5.62,-1.25,18.88,4.39,1.46
60.00,0.00,249.50,7.50,-99.31,22.19,14.19,22.44,5.41,1.48
60.00,1.00,254.00,2.06,-58.69,-5.75,15.50,8.44,5.41,1.48
60.00,2.00,337.50,-24.81,8.19,-5.38,-1.94,19.94,5.41,1.48
60.00,0.00,248.69,8.00,-99.81,22.56,12.88,21.50,6.42,1.50
60.00,1.00,253.69,2.00,-58.56,-4.00,15.44,8.56,6.42,1.50
60.00,2.00,337.06,-24.81,8.12,-4.38,-2.31,19.81,6.42,1.50
60.00,0.00,247.88,8.44,-100.25,24.31,12.38,23.56,7.41,1.52
60.00,1.00,253.38,2.00,-58.50,-2.94,13.50,8.12,7.41,1.52
60.00,2.00,336.69,-24.81,8.00,-2.50,-2.31,19.19,7.41,1.52
60.00,0.00,247.06,8.94,-100.75,25.44,13.50,23.94,8.41,1.54
60.00,1.00,253.06,2.00,-58.44,-2.31,12.50,7.38,8.41,1.54
60.00,2.00,336.31,-24.81,7.88,-1.50,-2.19,18.25,8.41,1.54
60.00,0.00,246.12,9.50,-101.19,27.62,15.94,25.06,9.51,1.56
60.00,1.00,252.81,2.00,-58.44,-2.00,13.62,6.75,9.51,1.56
60.00,2.00,335.94,-24.88,7.75,-1.81,-1.00,18.19,9.51,1.56
60.00,0.00,245.12,10.00,-101.69,30.25,17.88,27.25,10.74,1.58
