 Iteration,Theta,Accuracy (cm),Time (sec),Performance,XTrunkComp (cm),YTrunkComp (cm),ZTrunkComp (cm),XShoulerComp (cm),YShoulerComp (cm),ZShoulerComp (cm),FilterOut,du_hat,ddu_hat
 0.00,1.00,0.45,4.33,56.66,10.31,3.89,1.25,2.64,0.24,1.28,0.00,0.00,0.00
 1.00,1.00,0.42,4.37,76.12,12.12,3.05,1.74,2.30,0.18,1.42,4.43,0.00,0.00
 2.00,1.03,0.21,4.80,46.08,9.17,2.20,0.99,2.84,0.28,1.52,10.28,15.57,-868.26
 3.00,1.06,0.43,3.78,77.40,12.21,3.28,1.77,2.38,0.20,1.50,5.45,53.32,386.98
 4.00,1.09,0.31,3.70,71.16,11.58,1.31,1.59,2.86,0.28,1.45,-3.26,25.88,-427.08
 5.00,1.08,0.12,3.74,56.10,10.36,3.37,1.27,2.22,0.17,1.11,-5.81,3.08,-123.89
 6.00,1.04,0.45,4.91,50.44,9.90,1.83,1.16,1.69,0.10,1.69,-4.58,1.03,-48.26
 7.00,0.98,0.33,4.55,67.53,11.40,-1.78,1.54,2.25,0.18,1.56,-1.18,1.64,-530.25
 8.00,0.94,0.16,3.47,65.56,11.08,1.03,1.45,2.88,0.29,1.39,3.60,-9.58,-345.36
 9.00,0.96,0.24,3.87,30.69,7.51,-0.56,0.66,2.22,0.17,1.03,5.69,-19.75,-527.84
 10.00,1.01,0.42,3.49,50.31,9.81,0.89,1.13,2.10,0.15,1.37,-0.38,-14.54,-653.88
 11.00,1.09,0.30,3.69,33.49,7.84,2.06,0.72,2.36,0.19,1.31,-6.36,-40.47,-1040.07
 12.00,1.17,0.41,3.70,81.69,12.48,0.05,1.85,2.75,0.26,1.96,-5.66,-57.49,-1042.17
 13.00,1.20,0.32,4.65,60.15,10.77,3.19,1.37,2.10,0.15,1.47,2.31,-52.44,-347.85
 14.00,1.20,0.30,3.41,65.62,11.27,4.21,1.50,2.08,0.15,2.05,9.11,-59.27,-1035.06
 15.00,1.19,0.40,3.34,56.57,10.40,4.73,1.28,2.22,0.17,1.36,5.67,-76.00,22.74
 16.00,1.17,0.22,2.99,65.46,11.27,3.84,1.50,2.00,0.14,1.44,-2.44,-46.75,-427.46
 17.00,1.19,0.41,5.65,54.96,10.36,3.65,1.27,1.63,0.09,1.69,-7.17,-19.72,21.42
 18.00,1.23,0.55,3.17,60.71,10.77,3.37,1.37,2.35,0.19,1.33,-5.06,-15.36,317.46
 19.00,1.29,0.53,3.46,51.64,9.95,5.01,1.17,2.08,0.15,1.70,0.75,0.46,197.67
 20.00,1.33,0.47,3.88,18.32,5.24,2.72,0.32,3.03,0.32,1.45,4.74,21.09,370.26
 21.00,1.31,0.48,4.91,38.81,8.16,1.13,0.78,3.32,0.39,1.12,0.67,29.95,-45.46
 22.00,1.27,0.51,4.10,31.28,7.65,2.58,0.69,2.00,0.14,1.26,-4.35,40.99,605.85
 23.00,1.18,0.23,4.79,36.89,8.39,0.42,0.83,1.85,0.12,1.25,-3.79,47.94,305.46
 24.00,1.14,0.45,3.98,88.04,12.89,-3.37,1.98,3.17,0.35,1.55,-0.17,37.87,430.78
