Iteration,IMUNo,OrientationX (deg),OrientationY,OrientationZ,GyroX (20rad/sec),GyroY,GyroZ,Elbow_Pos (rad),Time (sec)
24.00,0.00,263.31,4.69,-108.31,26.94,-10.50,14.06,0.47,1.00
24.00,1.00,258.25,3.31,-45.56,1.44,-2.81,1.25,0.47,1.02
24.00,2.00,358.75,-14.81,7.56,5.38,-8.88,-0.19,0.47,1.02
24.00,0.00,263.31,4.88,-108.88,28.75,-14.69,13.62,1.01,1.02
24.00,1.00,258.25,3.38,-45.62,1.62,-2.88,1.25,1.01,1.02
24.00,2.00,358.75,-14.69,7.44,5.06,-8.50,0.38,1.01,1.02
24.00,0.00,263.38,4.94,-109.19,29.06,-15.56,13.44,1.55,1.04
24.00,1.00,258.25,3.38,-45.62,1.75,-3.00,1.19,1.55,1.04
24.00,2.00,358.75,-14.50,7.31,5.06,-8.12,0.75,1.55,1.04
24.00,0.00,263.44,5.12,-109.75,29.25,-16.44,13.44,2.10,1.06
24.00,1.00,258.25,3.44,-45.69,1.50,-2.88,0.81,2.10,1.06
24.00,2.00,358.75,-14.38,7.25,5.31,-7.38,0.75,2.10,1.06
24.00,0.00,263.56,5.25,-110.38,29.81,-15.62,13.62,2.65,1.08
24.00,1.00,258.25,3.50,-45.69,1.56,-2.62,1.06,2.65,1.08
24.00,2.00,358.75,-14.25,7.12,5.31,-6.62,1.50,2.65,1.08
24.00,0.00,263.56,5.44,-111.00,30.81,-14.06,15.00,3.24,1.10
24.00,1.00,258.25,3.56,-45.75,1.56,-2.50,1.19,3.24,1.10
24.00,2.00,358.69,-14.12,7.00,5.00,-7.19,1.94,3.24,1.10
24.00,0.00,263.50,5.62,-111.62,30.75,-11.56,16.00,3.81,1.12
24.00,1.00,258.25,3.62,-45.75,1.94,-2.25,1.25,3.81,1.12
24.00,2.00,358.69,-13.94,6.88,5.56,-8.25,2.56,3.81,1.12
24.00,0.00,263.38,5.88,-112.25,29.44,-10.31,15.31,4.34,1.14
24.00,1.00,258.25,3.62,-45.81,1.81,-2.25,1.00,4.34,1.14
24.00,2.00,358.62,-13.81,6.75,6.12,-8.06,2.56,4.34,1.14
24.00,0.00,263.19,6.06,-112.81,28.62,-7.88,16.00,4.86,1.16
24.00,1.00,258.25,3.69,-45.81,2.00,-2.25,1.62,4.86,1.16
24.00,2.00,358.56,-13.75,6.69,5.75,-8.19,3.19,4.86,1.16
24.00,0.00,262.88,6.38,-113.38,27.12,-3.75,17.25,5.36,1.18
24.00,1.00,258.25,3.75,-45.88,1.88,-1.88,1.81,5.36,1.18
24.00,2.00,358.50,-13.50,6.50,5.31,-7.75,3.62,5.36,1.18
24.00,0.00,262.50,6.69,-113.94,26.56,-1.88,17.88,5.84,1.20
24.00,1.00,258.19,3.81,-45.88,1.69,-1.62,1.50,5.84,1.20
24.00,2.00,358.44,-13.38,6.38,5.44,-7.31,3.88,5.84,1.20
24.00,0.00,262.06,7.00,-114.44,26.19,-0.81,18.50,6.31,1.22
24.00,1.00,258.19,3.88,-45.94,1.38,-1.50,1.75,6.31,1.22
24.00,2.00,358.38,-13.25,6.25,5.38,-7.31,3.88,6.31,1.22
24.00,0.00,261.62,7.31,-114.94,25.31,-1.94,18.00,6.77,1.24
24.00,1.00,258.12,3.94,-45.94,1.75,-0.94,2.38,6.77,1.24
24.00,2.00,358.25,-13.12,6.12,5.25,-7.44,4.75,6.77,1.24
24.00,0.00,261.31,7.56,-115.44,24.06,-2.88,16.88,7.21,1.26
24.00,1.00,258.06,4.00,-45.94,1.69,-0.31,2.69,7.21,1.26
24.00,2.00,358.25,-13.06,6.06,4.56,-7.19,5.69,7.21,1.26
24.00,0.00,261.00,7.81,-115.88,22.06,-4.31,15.44,7.61,1.28
24.00,1.00,258.00,4.06,-45.94,1.69,-0.12,2.75,7.61,1.28
24.00,2.00,358.06,-12.88,5.88,4.38,-6.38,6.12,7.61,1.28
24.00,0.00,260.81,8.00,-116.31,19.69,-6.00,13.69,7.96,1.30
24.00,1.00,257.94,4.06,-46.00,1.50,0.62,2.44,7.96,1.30
24.00,2.00,357.94,-12.75,5.75,4.44,-5.62,6.62,7.96,1.30
24.00,0.00,260.69,8.19,-116.75,18.88,-6.00,13.38,8.29,1.32
24.00,1.00,257.88,4.12,-46.00,1.12,1.12,2.81,8.29,1.32
24.00,2.00,357.81,-12.69,5.62,4.38,-4.69,7.06,8.29,1.32
24.00,0.00,260.44,8.38,-117.12,18.44,-4.56,13.88,8.63,1.34
24.00,1.00,257.81,4.12,-46.00,0.88,1.69,3.25,8.63,1.34
24.00,2.00,357.69,-12.62,5.50,3.62,-4.69,7.31,8.63,1.34
24.00,0.00,260.19,8.56,-117.50,16.81,-2.75,13.62,8.93,1.36
24.00,1.00,257.75,4.19,-46.00,0.62,2.06,3.56,8.93,1.36
24.00,2.00,357.56,-12.56,5.44,3.50,-4.69,8.06,8.93,1.36
24.00,0.00,259.88,8.81,-117.75,14.00,-0.56,12.00,9.18,1.38
24.00,1.00,257.62,4.19,-46.00,0.38,2.19,4.25,9.18,1.38
24.00,2.00,357.38,-12.44,5.31,3.12,-4.31,8.56,9.18,1.38
24.00,0.00,259.56,9.00,-118.06,14.31,-0.06,12.88,9.43,1.40
24.00,1.00,257.50,4.25,-46.00,0.00,2.81,4.19,9.43,1.40
24.00,2.00,357.19,-12.38,5.19,3.00,-5.00,9.75,9.43,1.40
24.00,0.00,259.19,9.25,-118.31,13.69,0.81,14.06,9.69,1.42
24.00,1.00,257.38,4.31,-46.00,0.12,2.69,4.44,9.69,1.42
24.00,2.00,357.06,-12.38,5.12,2.31,-6.12,9.56,9.69,1.42
24.00,0.00,258.81,9.50,-118.56,11.62,1.31,12.38,9.85,1.44
24.00,1.00,257.31,4.31,-45.94,-0.06,2.31,4.06,9.85,1.44
24.00,2.00,356.81,-12.19,5.00,4.56,-5.12,9.56,9.85,1.44
24.00,0.00,258.50,9.69,-118.75,9.12,2.00,9.88,9.94,1.46
24.00,1.00,257.19,4.38,-45.94,0.31,1.56,3.62,9.94,1.46
24.00,2.00,356.69,-12.19,4.94,5.25,-4.56,8.81,9.94,1.46
24.00,0.00,258.12,9.94,-118.94,7.50,4.06,9.50,10.01,1.48
24.00,1.00,257.12,4.38,-45.94,0.00,1.44,3.75,10.01,1.48
24.00,2.00,356.50,-12.06,4.75,4.31,-5.19,8.19,10.01,1.48
24.00,0.00,257.75,10.12,-119.06,7.94,3.19,10.44,10.12,1.50
24.00,1.00,257.00,4.44,-45.94,0.19,1.88,3.88,10.12,1.50
24.00,2.00,356.31,-11.94,4.62,3.12,-4.75,8.12,10.12,1.50
24.00,0.00,257.44,10.31,-119.25,8.88,1.06,11.62,10.28,1.52
24.00,1.00,256.94,4.44,-45.94,-0.88,1.38,3.75,10.28,1.52
24.00,2.00,356.25,-11.94,4.56,2.12,-4.88,7.56,10.28,1.52
24.00,0.00,257.19,10.50,-119.44,7.31,0.38,10.88,10.40,1.54
24.00,1.00,256.88,4.50,-45.88,-1.00,1.50,3.44,10.40,1.54
24.00,2.00,356.06,-11.81,4.50,2.00,-4.19,7.06,10.40,1.54
24.00,0.00,257.00,10.62,-119.56,6.12,-2.00,9.19,10.50,1.56
24.00,1.00,256.75,4.50,-45.88,-1.69,1.69,3.06,10.50,1.56
24.00,2.00,355.94,-11.75,4.44,1.81,-2.75,6.56,10.50,1.56
24.00,0.00,256.94,10.75,-119.75,6.50,-4.62,8.19,10.61,1.58
24.00,1.00,256.69,4.56,-45.81,-1.75,2.12,2.81,10.61,1.58
24.00,2.00,355.81,-11.75,4.38,1.62,-2.31,6.25,10.61,1.58
24.00,0.00,257.00,10.81,-119.88,7.25,-7.88,7.94,10.75,1.60
24.00,1.00,256.62,4.56,-45.75,-2.19,2.50,2.81,10.75,1.60
24.00,2.00,355.69,-11.69,4.31,0.81,-1.62,5.69,10.75,1.60
24.00,0.00,257.12,10.81,-120.06,6.69,-9.69,6.69,10.90,1.62
