 Iteration,Theta,Accuracy (cm),Time (sec),Performance,XTrunkComp (cm),YTrunkComp (cm),ZTrunkComp (cm),XShoulerComp (cm),YShoulerComp (cm),ZShoulerComp (cm),FilterOut,du_hat,ddu_hat
 51.00,2.37,1.13,2.83,13.29,0.05,-1.42,0.00,3.65,0.35,3.40,9.27,22.52,257.62
 52.00,2.36,0.51,3.41,48.69,-5.01,-0.60,0.25,4.86,0.63,3.65,10.58,33.07,-35.55
 53.00,2.28,1.03,3.33,34.11,-4.09,-1.42,0.17,4.17,0.46,3.73,4.12,26.38,-211.74
 54.00,2.17,1.10,2.73,16.05,-2.18,-1.09,0.05,3.36,0.30,3.91,-7.47,30.27,-193.65
 55.00,2.07,0.79,2.60,19.59,1.64,-1.31,0.03,4.11,0.45,3.14,-11.89,54.58,-515.12
 56.00,2.05,0.38,2.67,13.77,0.16,-1.36,0.00,3.71,0.37,4.01,-5.46,55.14,-160.57
 57.00,2.11,0.63,2.68,15.27,0.55,-0.93,0.00,3.87,0.40,3.36,4.37,47.67,-206.41
 58.00,2.18,1.11,2.88,12.75,0.87,-2.29,0.01,3.46,0.32,3.63,8.78,56.95,76.83
 59.00,2.23,1.78,2.28,12.61,0.44,-1.47,0.00,3.52,0.33,3.44,4.66,57.78,161.56
 60.00,2.21,0.25,2.67,20.06,0.16,-0.27,0.00,4.48,0.53,2.95,-2.29,43.84,125.57
 61.00,2.13,0.44,3.49,24.28,-1.04,0.55,0.01,4.82,0.62,3.65,-5.25,34.79,169.43
 62.00,2.02,0.63,2.55,21.25,-0.82,-0.22,0.01,4.54,0.55,3.85,-3.09,28.40,36.09
 63.00,1.94,2.39,2.36,16.16,-1.09,-0.16,0.01,3.87,0.40,3.99,0.78,17.69,38.44
 64.00,1.94,0.48,3.22,23.43,3.16,-1.25,0.10,3.67,0.36,3.28,3.54,8.58,-9.57
 65.00,2.01,0.63,2.98,33.22,4.90,-2.73,0.24,3.03,0.24,2.69,4.13,4.99,-75.72
 66.00,2.10,0.70,2.90,39.45,5.28,-2.13,0.28,3.40,0.31,2.58,2.29,6.84,47.96
 67.00,2.17,0.09,4.08,31.22,-2.73,0.98,0.07,4.88,0.64,2.97,-1.41,5.02,47.56
 68.00,2.17,0.53,3.12,34.78,4.96,-1.74,0.25,3.20,0.27,2.58,-3.67,-1.21,119.78
 69.00,2.10,0.38,3.06,25.17,0.44,-0.60,0.00,5.00,0.67,3.38,-2.86,-0.81,156.88
 70.00,2.00,0.79,3.18,15.64,0.82,-0.93,0.01,3.87,0.40,2.99,-1.19,0.51,27.95
 71.00,1.93,1.69,2.83,14.18,1.53,-0.76,0.02,3.44,0.31,2.89,0.39,0.28,-20.56
 72.00,1.93,0.57,2.82,39.60,5.17,-2.29,0.27,3.58,0.34,2.38,3.26,-2.41,-48.90
 73.00,2.00,0.70,2.73,39.78,5.12,-0.87,0.26,3.69,0.36,2.40,4.85,1.39,-210.60
 74.00,2.10,0.62,2.83,32.43,4.36,-1.15,0.19,3.67,0.36,2.44,1.41,9.68,-10.61
 75.00,2.17,0.44,3.15,18.58,1.47,-0.93,0.02,4.05,0.44,2.52,-4.37,1.38,-128.84
 76.00,2.17,0.41,3.39,34.16,-3.00,-0.05,0.09,5.02,0.67,3.22,-5.32,-7.86,104.71
 77.00,2.10,0.68,3.50,37.87,-4.47,-0.76,0.20,4.23,0.48,3.85,0.02,-7.66,73.58
 78.00,2.01,1.71,2.65,11.82,1.36,-1.74,0.02,3.16,0.26,2.87,2.75,-20.23,163.99
 79.00,1.95,2.14,2.17,24.40,-1.09,-0.44,0.01,4.82,0.62,3.30,1.61,-20.25,55.09
