Iteration,IMUNo,OrientationX (deg),OrientationY,OrientationZ,GyroX (20rad/sec),GyroY,GyroZ,Elbow_Pos (rad),Time (sec)
64.00,0.00,281.19,8.31,-110.75,-2.56,-5.62,-1.19,-0.13,1.02
64.00,1.00,261.81,-4.75,-65.50,-0.56,-0.25,-0.88,-0.13,1.02
64.00,2.00,244.31,-27.50,19.62,0.75,1.00,-1.50,-0.13,1.02
64.00,0.00,281.19,8.31,-110.75,-2.56,-5.62,-1.19,-0.13,1.02
64.00,1.00,261.81,-4.75,-65.50,-0.56,-0.25,-0.88,-0.13,1.02
64.00,2.00,244.31,-27.50,19.62,0.75,1.00,-1.50,-0.13,1.02
64.00,0.00,281.38,8.25,-110.75,-2.62,-4.94,-0.56,-0.26,1.04
64.00,1.00,261.81,-4.75,-65.50,-0.38,-0.06,-0.62,-0.26,1.04
64.00,2.00,244.38,-27.56,19.62,0.81,0.94,-1.38,-0.26,1.04
64.00,0.00,281.50,8.25,-110.75,-2.19,-4.88,-0.06,-0.38,1.06
64.00,1.00,261.81,-4.75,-65.50,-0.50,-0.06,-0.62,-0.38,1.06
64.00,2.00,244.38,-27.56,19.62,0.81,0.88,-1.12,-0.38,1.06
64.00,0.00,281.62,8.25,-110.75,-1.81,-4.44,0.50,-0.47,1.08
64.00,1.00,261.81,-4.75,-65.50,-0.25,0.50,-0.75,-0.47,1.08
64.00,2.00,244.44,-27.56,19.62,0.62,1.06,-0.75,-0.47,1.08
64.00,0.00,281.69,8.25,-110.75,-1.25,-4.25,1.19,-0.53,1.10
64.00,1.00,261.88,-4.75,-65.50,-0.56,0.62,-0.56,-0.53,1.10
64.00,2.00,244.44,-27.56,19.62,0.31,0.81,-0.38,-0.53,1.10
64.00,0.00,281.75,8.25,-110.81,-0.12,-3.75,1.94,-0.58,1.12
64.00,1.00,261.88,-4.81,-65.50,-0.50,0.50,-0.56,-0.58,1.12
64.00,2.00,244.44,-27.56,19.62,1.00,0.06,-0.31,-0.58,1.12
64.00,0.00,281.75,8.31,-110.88,1.06,-2.75,2.56,-0.63,1.14
64.00,1.00,261.88,-4.81,-65.50,-0.94,0.69,-0.50,-0.63,1.14
64.00,2.00,244.44,-27.56,19.56,2.31,-1.38,-0.50,-0.63,1.14
64.00,0.00,281.75,8.38,-111.00,2.31,-2.25,3.50,-0.66,1.16
64.00,1.00,261.81,-4.81,-65.44,-0.88,0.88,-0.44,-0.66,1.16
64.00,2.00,244.44,-27.50,19.50,3.25,-3.31,-0.50,-0.66,1.16
64.00,0.00,281.56,8.50,-111.19,4.50,-1.25,4.69,-0.60,1.18
64.00,1.00,261.81,-4.81,-65.44,-0.75,0.81,-0.38,-0.60,1.18
