Iteration,IMUNo,OrientationX (deg),OrientationY,OrientationZ,GyroX (20rad/sec),GyroY,GyroZ,Elbow_Pos (rad),Time (sec)
52.00,0.00,268.56,8.00,-110.62,-0.19,-0.19,0.12,-0.03,1.02
52.00,1.00,263.75,-4.19,-64.44,0.31,-0.31,-0.12,-0.03,1.02
52.00,2.00,243.38,-28.31,21.94,0.50,-0.38,-0.12,-0.03,1.02
52.00,0.00,268.56,8.00,-110.62,-0.06,-0.38,0.06,-0.07,1.02
52.00,1.00,263.75,-4.19,-64.44,0.31,-0.31,0.00,-0.07,1.04
52.00,2.00,243.38,-28.31,21.94,0.81,-0.06,-0.25,-0.07,1.04
52.00,0.00,268.56,8.00,-110.62,-0.06,-0.06,0.06,-0.10,1.04
52.00,1.00,263.75,-4.19,-64.44,0.44,-0.38,0.06,-0.10,1.04
52.00,2.00,243.38,-28.31,21.94,0.56,-0.19,-0.06,-0.10,1.06
52.00,0.00,268.56,8.00,-110.62,0.19,-0.38,0.25,-0.12,1.06
52.00,1.00,263.75,-4.19,-64.44,0.31,-0.19,0.12,-0.12,1.06
52.00,2.00,243.38,-28.31,21.94,0.50,-0.12,-0.06,-0.12,1.06
52.00,0.00,268.56,8.00,-110.62,-0.12,-0.19,0.25,-0.15,1.08
52.00,1.00,263.75,-4.19,-64.44,0.12,-0.12,0.19,-0.15,1.08
52.00,2.00,243.38,-28.31,21.94,0.50,0.00,-0.06,-0.15,1.08
52.00,0.00,268.56,8.00,-110.62,-0.19,0.12,0.06,-0.18,1.10
52.00,1.00,263.75,-4.19,-64.44,0.25,-0.06,0.12,-0.18,1.10
52.00,2.00,243.38,-28.31,21.94,0.44,0.06,0.19,-0.18,1.10
52.00,0.00,268.56,8.00,-110.62,-0.25,-0.31,0.00,-0.21,1.12
52.00,1.00,263.75,-4.19,-64.50,0.31,0.00,0.25,-0.21,1.12
52.00,2.00,243.38,-28.31,21.94,0.50,-0.06,0.12,-0.21,1.12
52.00,0.00,268.56,8.00,-110.62,-0.19,-0.19,0.06,-0.24,1.14
52.00,1.00,263.75,-4.19,-64.50,0.19,0.19,0.25,-0.24,1.14
52.00,2.00,243.38,-28.31,21.94,0.31,0.00,0.44,-0.24,1.14
52.00,0.00,268.56,8.00,-110.62,-0.12,0.00,-0.12,-0.25,1.16
52.00,1.00,263.75,-4.19,-64.50,0.06,0.25,0.38,-0.25,1.16
52.00,2.00,243.38,-28.31,21.94,0.19,-0.25,0.31,-0.25,1.16
52.00,0.00,268.56,8.00,-110.62,0.00,0.19,0.00,-0.26,1.18
52.00,1.00,263.75,-4.19,-64.50,0.44,0.00,0.50,-0.26,1.18
52.00,2.00,243.38,-28.31,21.94,0.19,-0.31,0.62,-0.26,1.18
52.00,0.00,268.56,8.00,-110.69,0.31,0.19,0.25,-0.27,1.20
52.00,1.00,263.75,-4.19,-64.50,0.75,0.19,0.38,-0.27,1.20
52.00,2.00,243.38,-28.31,21.94,0.50,-0.12,0.56,-0.27,1.20
52.00,0.00,268.56,8.00,-110.69,0.75,0.31,0.19,-0.25,1.22
52.00,1.00,263.75,-4.19,-64.50,0.50,0.25,0.31,-0.25,1.22
52.00,2.00,243.38,-28.31,21.94,0.31,-0.12,0.75,-0.25,1.22
52.00,0.00,268.56,8.00,-110.69,0.56,0.06,0.25,-0.25,1.24
52.00,1.00,263.75,-4.19,-64.56,0.56,0.12,0.38,-0.25,1.24
52.00,2.00,243.38,-28.31,21.94,0.56,-0.38,0.62,-0.25,1.26
52.00,0.00,268.56,8.00,-110.75,1.06,-0.06,0.19,-0.23,1.26
52.00,1.00,263.75,-4.25,-64.56,0.31,0.12,0.38,-0.23,1.26
52.00,2.00,243.31,-28.31,21.88,0.56,-1.12,0.69,-0.23,1.26
52.00,0.00,268.56,8.00,-110.81,1.38,-0.12,0.38,-0.20,1.28
52.00,1.00,263.75,-4.25,-64.56,0.06,0.38,0.38,-0.20,1.28
52.00,2.00,243.31,-28.25,21.88,0.88,-1.50,0.50,-0.20,1.28
52.00,0.00,268.50,8.00,-110.88,2.50,-0.31,0.62,-0.17,1.30
52.00,1.00,263.75,-4.19,-64.56,0.19,0.44,0.69,-0.17,1.30
52.00,2.00,243.31,-28.25,21.81,1.81,-2.44,0.50,-0.17,1.30
52.00,0.00,268.50,8.00,-110.94,3.44,-0.62,1.38,-0.11,1.32
52.00,1.00,263.75,-4.25,-64.56,0.31,0.19,0.56,-0.11,1.32
