Iteration,IMUNo,OrientationX (deg),OrientationY,OrientationZ,GyroX (20rad/sec),GyroY,GyroZ,Elbow_Pos (rad),Time (sec)
73.00,0.00,273.31,7.94,-105.69,0.31,0.88,0.00,0.02,1.00
73.00,1.00,249.44,-5.81,-64.69,0.31,0.06,0.50,0.02,1.00
73.00,2.00,242.44,-26.50,19.19,-0.12,-0.19,0.38,0.02,1.02
73.00,0.00,273.31,7.94,-105.69,0.50,0.94,-0.06,0.06,1.02
73.00,1.00,249.44,-5.81,-64.69,0.06,0.25,0.50,0.06,1.02
73.00,2.00,242.44,-26.50,19.19,-0.50,-0.12,0.19,0.06,1.04
73.00,0.00,273.25,7.94,-105.69,0.06,1.00,-0.38,0.10,1.04
73.00,1.00,249.44,-5.81,-64.69,-0.12,0.12,0.56,0.10,1.04
73.00,2.00,242.44,-26.50,19.25,-1.06,-0.44,0.44,0.10,1.06
73.00,0.00,273.25,7.94,-105.69,0.38,1.31,0.06,0.16,1.06
73.00,1.00,249.44,-5.81,-64.69,0.00,0.19,0.44,0.16,1.06
73.00,2.00,242.44,-26.50,19.25,-1.19,-0.25,0.56,0.16,1.06
73.00,0.00,273.19,8.00,-105.69,0.81,1.88,0.44,0.22,1.08
73.00,1.00,249.44,-5.81,-64.69,0.25,0.44,0.12,0.22,1.08
73.00,2.00,242.44,-26.50,19.25,-0.88,0.00,0.81,0.22,1.08
73.00,0.00,273.06,8.00,-105.75,1.50,1.94,1.12,0.30,1.10
73.00,1.00,249.44,-5.81,-64.69,0.75,0.19,0.38,0.30,1.10
73.00,2.00,242.44,-26.50,19.25,-0.50,-0.25,0.69,0.30,1.10
73.00,0.00,273.00,8.06,-105.81,2.06,2.19,1.38,0.39,1.12
73.00,1.00,249.44,-5.81,-64.69,1.19,0.12,0.50,0.39,1.12
73.00,2.00,242.44,-26.50,19.25,-0.19,-0.69,0.69,0.39,1.12
73.00,0.00,272.88,8.12,-105.88,2.88,2.25,1.38,0.49,1.14
73.00,1.00,249.44,-5.81,-64.75,1.38,-0.31,0.31,0.49,1.14
73.00,2.00,242.38,-26.50,19.25,0.12,-0.62,0.69,0.49,1.14
73.00,0.00,272.75,8.19,-106.00,4.62,2.38,1.69,0.67,1.16
73.00,1.00,249.44,-5.81,-64.75,1.06,-0.06,0.06,0.67,1.16
73.00,2.00,242.38,-26.50,19.25,0.00,-0.38,0.94,0.67,1.16
73.00,0.00,272.62,8.19,-106.19,6.75,2.00,1.94,0.93,1.18
73.00,1.00,249.44,-5.81,-64.75,1.31,-0.12,0.19,0.93,1.18
73.00,2.00,242.38,-26.50,19.25,0.00,-0.25,1.19,0.93,1.18
73.00,0.00,272.50,8.25,-106.38,9.06,2.19,2.31,1.22,1.20
73.00,1.00,249.44,-5.81,-64.81,1.69,-0.56,0.00,1.22,1.20
73.00,2.00,242.31,-26.50,19.19,1.69,-1.12,1.06,1.22,1.20
