Iteration,IMUNo,OrientationX (deg),OrientationY,OrientationZ,GyroX (20rad/sec),GyroY,GyroZ,Elbow_Pos (rad),Time (sec)
76.00,0.00,274.19,6.88,-107.12,1.81,2.06,0.38,0.00,1.02
76.00,1.00,243.62,-5.19,-62.75,-1.50,0.19,-0.94,0.00,1.02
76.00,2.00,246.00,-27.81,21.31,1.75,-1.00,0.00,0.00,1.02
76.00,0.00,274.12,6.88,-107.19,2.25,1.25,0.25,0.06,1.04
76.00,1.00,243.62,-5.19,-62.75,-1.81,0.75,0.12,0.06,1.04
76.00,2.00,246.06,-27.81,21.31,1.00,-0.25,0.12,0.06,1.04
76.00,0.00,274.12,6.88,-107.19,1.44,-0.25,0.62,0.11,1.06
76.00,1.00,243.56,-5.19,-62.69,-1.06,1.44,0.62,0.11,1.06
76.00,2.00,246.06,-27.81,21.25,0.31,-0.38,0.19,0.11,1.06
76.00,0.00,274.12,6.88,-107.25,1.06,-1.19,0.75,0.15,1.08
76.00,1.00,243.56,-5.19,-62.69,-0.12,0.44,0.06,0.15,1.08
76.00,2.00,246.06,-27.81,21.25,0.12,-0.75,0.56,0.15,1.08
76.00,0.00,274.12,6.88,-107.25,1.44,-1.38,0.62,0.18,1.10
76.00,1.00,243.56,-5.19,-62.69,0.44,-0.06,-0.25,0.18,1.10
76.00,2.00,246.06,-27.81,21.25,0.69,-0.62,0.19,0.18,1.10
76.00,0.00,274.12,6.94,-107.31,2.44,-0.81,0.81,0.24,1.12
76.00,1.00,243.56,-5.25,-62.69,0.56,0.12,-0.69,0.24,1.12
76.00,2.00,246.06,-27.75,21.25,1.00,-1.06,0.19,0.24,1.12
76.00,0.00,274.06,6.94,-107.44,3.62,-0.06,1.06,0.35,1.14
76.00,1.00,243.62,-5.25,-62.69,0.31,0.12,-1.12,0.35,1.14
76.00,2.00,246.06,-27.75,21.25,1.00,-2.00,0.44,0.35,1.14
76.00,0.00,274.06,6.94,-107.56,5.62,0.00,0.12,0.59,1.16
76.00,1.00,243.62,-5.25,-62.69,0.19,-1.19,-1.00,0.59,1.16
76.00,2.00,246.00,-27.69,21.19,0.19,-2.69,0.94,0.59,1.16
76.00,0.00,274.06,6.94,-107.69,8.69,-1.25,-0.06,0.96,1.18
76.00,1.00,243.69,-5.25,-62.75,1.81,-2.62,-0.25,0.96,1.18
76.00,2.00,246.00,-27.69,21.19,0.25,-1.88,0.88,0.96,1.18
76.00,0.00,274.06,6.88,-108.00,11.62,-2.75,-0.06,1.40,1.20
76.00,1.00,243.69,-5.19,-62.75,2.56,-3.12,-0.62,1.40,1.20
76.00,2.00,246.00,-27.69,21.12,1.44,-0.62,0.44,1.40,1.20
76.00,0.00,274.12,6.88,-108.31,14.94,-3.44,0.31,1.93,1.22
76.00,1.00,243.75,-5.19,-62.81,2.75,-3.00,-1.62,1.93,1.22
