 Iteration,Theta,Accuracy (cm),Time (sec),Performance,XTrunkComp (cm),YTrunkComp (cm),ZTrunkComp (cm),XShoulerComp (cm),YShoulerComp (cm),ZShoulerComp (cm),FilterOut,du_hat,ddu_hat
 0.00,1.00,0.35,3.36,99.94,13.47,-7.47,2.16,4.31,0.63,1.49,3.27,0.00,0.00
 1.00,1.00,0.41,3.20,89.17,12.39,-3.33,1.82,4.98,0.85,1.81,7.82,0.00,0.00
 2.00,1.03,0.37,4.82,35.91,8.20,-4.82,0.79,2.12,0.15,0.70,14.60,27.47,-1531.66
 3.00,1.04,0.36,2.84,25.19,6.63,-3.33,0.51,2.52,0.21,0.52,2.62,66.02,-110.80
 4.00,1.09,0.29,3.32,33.05,7.24,-3.23,0.61,3.71,0.47,0.79,-14.77,-1.35,-1785.48
 5.00,1.12,0.39,2.39,23.76,3.75,-3.79,0.16,5.79,1.16,0.65,-16.82,-45.75,177.40
 6.00,1.10,0.24,2.68,31.91,5.38,-3.23,0.34,5.91,1.21,0.65,-4.04,-38.52,215.38
 7.00,1.09,0.39,2.19,15.97,3.00,-2.77,0.10,4.79,0.79,0.29,10.16,-78.95,484.71
 8.00,1.13,0.23,2.19,16.76,2.63,-2.77,0.08,5.16,0.92,0.03,12.70,-128.75,1180.25
 9.00,1.20,0.70,2.50,8.29,1.78,-1.92,0.04,3.66,0.45,0.13,2.62,-121.02,366.48
 10.00,1.31,0.23,2.99,12.83,2.81,-0.94,0.09,4.21,0.60,-0.02,-8.76,-111.97,825.42
 11.00,1.45,0.42,2.44,6.33,1.22,-0.84,0.02,3.34,0.38,0.57,-11.06,-122.10,-165.94
 12.00,1.56,0.29,2.48,15.31,1.03,-1.36,0.01,5.44,1.02,-0.10,-3.54,-109.71,-281.49
 13.00,1.61,0.44,2.78,10.16,-2.34,-0.33,0.06,3.85,0.50,0.21,6.07,-75.58,-421.80
 14.00,1.61,0.40,3.06,6.30,0.05,-1.08,0.00,3.55,0.43,0.96,9.20,-61.92,-826.26
 15.00,1.58,0.30,2.69,11.58,0.23,-1.08,0.00,4.81,0.79,-0.02,3.14,-54.91,-105.73
 16.00,1.55,0.38,2.23,5.42,-0.84,-1.55,0.01,3.18,0.34,0.21,-4.59,-20.15,-447.11
 17.00,1.55,0.30,3.20,9.26,-0.61,-0.70,0.00,4.26,0.62,0.57,-7.19,3.81,33.14
 18.00,1.59,0.21,2.63,5.31,-0.42,-1.27,0.00,3.23,0.35,0.83,-3.31,8.48,214.36
 19.00,1.65,0.29,3.48,4.18,-0.89,-0.19,0.01,2.75,0.25,1.08,2.83,22.57,237.40
 20.00,1.69,0.38,2.52,4.21,-0.47,-0.42,0.00,2.86,0.28,0.44,5.15,40.80,472.13
 21.00,1.67,0.36,3.22,9.33,1.83,-0.47,0.04,3.91,0.52,0.28,2.55,42.49,135.64
 22.00,1.60,0.29,2.46,7.56,1.17,-0.38,0.02,3.71,0.47,0.47,-1.46,38.99,177.90
 23.00,1.51,0.26,2.72,16.82,3.61,-1.55,0.15,4.54,0.70,0.46,-3.31,41.01,-43.53
 24.00,1.45,0.27,2.83,3.55,1.45,-0.98,0.02,2.23,0.17,0.61,-1.41,38.79,-115.00
 25.00,1.43,0.37,3.96,3.36,1.64,0.38,0.03,2.01,0.13,0.67,1.11,28.34,-210.50
 26.00,1.46,0.23,2.88,3.46,0.94,-0.42,0.01,2.46,0.20,0.26,1.21,21.36,-174.09
 27.00,1.51,0.24,2.83,2.20,0.70,0.33,0.01,1.97,0.13,0.13,0.24,11.21,-170.63
