Iteration,IMUNo,OrientationX (deg),OrientationY,OrientationZ,GyroX (20rad/sec),GyroY,GyroZ,Elbow_Pos (rad),Time (sec)
35.00,0.00,227.38,19.56,-118.19,0.00,-0.38,0.12,0.00,0.00
35.00,1.00,279.50,-6.62,-55.31,-1.56,2.38,0.88,0.00,0.00
35.00,2.00,246.56,-6.19,26.44,-1.81,-1.12,2.38,0.00,0.00
35.00,0.00,278.50,-2.94,-83.94,0.56,2.50,0.94,0.04,1.02
35.00,1.00,284.81,-4.25,-56.94,-0.19,-0.25,-0.19,0.04,1.02
35.00,2.00,259.12,-4.19,29.06,-0.62,0.50,0.81,0.04,1.02
35.00,0.00,278.38,-2.88,-84.00,0.69,4.19,1.56,0.07,1.04
35.00,1.00,284.81,-4.25,-56.94,-0.19,-0.12,0.12,0.07,1.04
35.00,2.00,259.12,-4.19,29.06,-0.56,0.12,1.25,0.07,1.04
35.00,0.00,278.25,-2.88,-84.00,1.00,5.44,2.31,0.10,1.06
35.00,1.00,284.81,-4.25,-56.94,-0.44,-0.06,0.12,0.10,1.06
35.00,2.00,259.12,-4.19,29.06,0.00,-0.69,1.62,0.10,1.06
35.00,0.00,278.06,-2.81,-84.06,1.62,6.38,2.88,0.14,1.08
35.00,1.00,284.81,-4.25,-56.94,-0.19,0.25,0.50,0.14,1.08
35.00,2.00,259.06,-4.19,29.06,0.50,-1.19,1.50,0.14,1.08
35.00,0.00,277.94,-2.81,-84.12,2.44,5.75,2.94,0.18,1.10
35.00,1.00,284.81,-4.25,-56.94,-0.19,0.31,0.50,0.18,1.10
35.00,2.00,259.06,-4.19,29.00,1.19,-1.50,1.25,0.18,1.10
35.00,0.00,277.81,-2.81,-84.19,3.12,4.12,3.12,0.21,1.12
35.00,1.00,284.81,-4.25,-56.94,-0.06,1.00,0.94,0.21,1.12
35.00,2.00,259.00,-4.19,29.00,2.00,-1.31,1.56,0.21,1.12
35.00,0.00,277.75,-2.75,-84.25,2.56,3.12,2.62,0.23,1.14
35.00,1.00,284.75,-4.25,-56.94,0.00,1.56,1.06,0.23,1.14
35.00,2.00,259.00,-4.12,28.94,1.94,-1.31,1.75,0.23,1.14
35.00,0.00,277.69,-2.75,-84.25,0.81,2.81,1.00,0.24,1.16
35.00,1.00,284.75,-4.25,-56.94,0.25,1.88,1.31,0.24,1.16
35.00,2.00,258.94,-4.12,28.94,0.38,-1.69,2.38,0.24,1.16
35.00,0.00,277.62,-2.75,-84.25,-0.69,2.56,0.12,0.22,1.18
35.00,1.00,284.69,-4.25,-56.94,-0.12,1.81,1.31,0.22,1.18
35.00,2.00,258.88,-4.12,28.94,-0.06,-1.19,2.19,0.22,1.18
35.00,0.00,277.62,-2.75,-84.25,-2.12,2.25,-0.88,0.19,1.20
35.00,1.00,284.62,-4.25,-57.00,-0.44,1.56,1.06,0.19,1.20
35.00,2.00,258.81,-4.12,28.94,-0.88,-0.81,2.00,0.19,1.20
35.00,0.00,277.56,-2.81,-84.19,-2.56,1.81,-0.94,0.15,1.22
35.00,1.00,284.62,-4.25,-57.00,-0.38,1.19,0.56,0.15,1.22
35.00,2.00,258.81,-4.19,28.94,-1.44,-0.38,1.69,0.15,1.22
35.00,0.00,277.62,-2.81,-84.12,-1.69,-0.25,-1.06,0.14,1.24
35.00,1.00,284.62,-4.25,-56.94,-0.81,0.88,0.19,0.14,1.24
35.00,2.00,258.75,-4.19,29.00,-1.38,0.31,0.94,0.14,1.24
35.00,0.00,277.62,-2.88,-84.12,-0.75,-0.88,-0.56,0.15,1.26
35.00,1.00,284.62,-4.25,-56.94,-0.88,0.31,-0.31,0.15,1.26
35.00,2.00,258.75,-4.19,29.00,-0.94,1.06,-0.38,0.15,1.26
35.00,0.00,277.62,-2.88,-84.12,0.44,-0.44,0.19,0.17,1.28
35.00,1.00,284.62,-4.31,-56.94,-1.00,-0.62,-0.81,0.17,1.28
35.00,2.00,258.75,-4.19,29.00,-0.44,0.94,-0.62,0.17,1.28
35.00,0.00,277.62,-2.88,-84.12,1.56,0.31,1.50,0.24,1.30
35.00,1.00,284.69,-4.31,-56.88,-1.06,-1.12,-0.81,0.24,1.30
35.00,2.00,258.81,-4.19,29.00,-0.56,0.69,-0.44,0.24,1.30
35.00,0.00,277.62,-2.81,-84.19,1.81,1.06,2.00,0.31,1.32
35.00,1.00,284.69,-4.25,-56.88,-0.81,-1.50,-0.56,0.31,1.32
35.00,2.00,258.81,-4.25,29.00,-0.50,0.25,-0.69,0.31,1.32
35.00,0.00,277.50,-2.75,-84.19,2.56,2.94,2.81,0.40,1.34
35.00,1.00,284.69,-4.25,-56.88,-0.75,-1.31,-0.62,0.40,1.34
35.00,2.00,258.81,-4.19,29.00,-0.25,-0.62,-0.50,0.40,1.34
35.00,0.00,277.38,-2.69,-84.25,4.00,2.00,3.06,0.48,1.36
35.00,1.00,284.75,-4.25,-56.88,-0.50,-0.88,0.12,0.48,1.36
35.00,2.00,258.81,-4.19,29.00,1.38,-1.31,-0.50,0.48,1.36
35.00,0.00,277.31,-2.62,-84.38,4.25,1.00,2.81,0.56,1.38
35.00,1.00,284.69,-4.25,-56.88,0.12,0.44,0.81,0.56,1.38
35.00,2.00,258.81,-4.19,29.00,1.31,-1.81,-0.38,0.56,1.38
35.00,0.00,277.31,-2.62,-84.44,2.88,-1.19,1.12,0.63,1.40
35.00,1.00,284.69,-4.25,-56.88,0.19,0.25,1.50,0.63,1.40
35.00,2.00,258.75,-4.12,28.94,0.81,-2.25,0.00,0.63,1.40
35.00,0.00,277.31,-2.62,-84.50,2.88,-1.25,0.62,0.70,1.42
35.00,1.00,284.62,-4.19,-56.88,0.00,0.62,2.06,0.70,1.42
35.00,2.00,258.75,-4.12,28.94,0.56,-2.00,0.75,0.70,1.42
35.00,0.00,277.31,-2.62,-84.56,2.62,-0.69,-0.19,0.78,1.44
35.00,1.00,284.56,-4.19,-56.88,0.38,1.25,2.06,0.78,1.44
35.00,2.00,258.75,-4.06,28.94,-0.06,-2.12,1.56,0.78,1.44
35.00,0.00,277.31,-2.62,-84.62,2.88,0.81,-0.19,0.87,1.46
35.00,1.00,284.56,-4.19,-56.88,-0.12,1.25,2.19,0.87,1.46
35.00,2.00,258.69,-4.06,28.94,-0.12,-1.31,2.12,0.87,1.46
35.00,0.00,277.25,-2.62,-84.69,3.75,2.12,0.62,0.99,1.48
