 Iteration,Theta,Accuracy (cm),Time (sec),Performance,XTrunkComp (cm),YTrunkComp (cm),ZTrunkComp (cm),XShoulerComp (cm),YShoulerComp (cm),ZShoulerComp (cm),FilterOut,du_hat,ddu_hat
 0.00,1.00,0.34,3.12,88.88,11.57,-9.00,1.36,6.63,1.10,1.30,0.00,0.00,0.00
 1.00,1.00,0.28,2.29,81.02,9.33,-6.36,0.88,8.66,1.92,1.47,6.95,0.00,0.00
 2.00,1.03,0.64,2.24,65.60,7.88,-4.63,0.62,8.32,1.76,1.27,13.12,24.43,-1362.09
 3.00,1.05,0.38,2.38,76.40,9.33,-6.20,0.88,8.11,1.67,1.63,5.09,59.78,-68.24
 4.00,1.08,0.35,2.78,129.13,10.88,-7.07,1.20,11.83,3.76,1.68,-6.46,19.89,-1058.92
 5.00,1.09,0.42,2.18,70.47,9.86,-5.82,0.98,6.61,1.10,1.63,-5.62,-10.93,-195.62
 6.00,1.06,0.47,2.32,63.96,8.36,-5.61,0.70,7.62,1.47,1.50,-0.49,-23.07,-706.27
 7.00,1.02,0.49,2.43,73.44,9.27,-5.55,0.87,7.80,1.54,1.59,-0.84,-33.64,-804.07
 8.00,0.99,0.39,2.46,74.75,9.33,-7.01,0.88,7.91,1.59,2.01,-0.17,-16.49,-1270.14
 9.00,1.00,0.99,2.20,45.88,6.15,-5.12,0.38,7.35,1.36,1.85,1.39,-14.87,-1013.15
 10.00,1.05,0.29,2.89,85.20,10.56,-7.55,1.13,7.68,1.49,2.17,-0.66,-11.77,-900.59
 11.00,1.11,0.39,2.37,62.58,7.77,-5.44,0.61,8.05,1.65,1.56,-1.00,-11.97,-670.53
 12.00,1.16,0.86,2.43,48.29,5.61,-3.92,0.32,8.07,1.66,2.10,0.89,-4.86,-233.77
 13.00,1.16,0.46,2.72,68.06,8.52,-5.50,0.73,7.97,1.61,1.88,-1.17,-1.89,-95.86
 14.00,1.12,0.31,2.84,68.88,8.20,-5.61,0.68,8.40,1.80,1.74,-1.47,5.65,479.18
 15.00,1.06,0.38,2.57,69.80,8.63,-5.61,0.75,8.07,1.66,1.52,1.17,0.14,706.33
 16.00,1.02,0.54,2.76,73.43,9.11,-6.09,0.84,7.99,1.62,1.76,2.52,-6.95,786.59
 17.00,1.02,0.26,2.40,68.19,9.11,-6.31,0.84,7.30,1.35,1.79,1.82,-11.49,268.51
 18.00,1.06,0.21,2.45,72.35,8.84,-4.25,0.79,8.15,1.69,0.98,-0.47,-10.16,175.23
 19.00,1.13,0.37,2.57,42.45,6.42,-4.41,0.41,6.61,1.10,0.92,-2.08,-20.50,-171.72
 20.00,1.19,0.39,4.41,63.63,8.74,-3.87,0.77,7.14,1.28,0.96,-3.64,-22.58,-213.85
 21.00,1.19,0.36,3.03,67.48,8.79,-4.03,0.78,7.60,1.46,1.61,-2.48,-24.96,376.52
 22.00,1.16,0.48,2.24,71.32,8.95,-5.44,0.81,7.91,1.59,1.41,2.62,-21.39,185.93
 23.00,1.10,0.39,2.44,75.41,9.17,-6.85,0.85,8.17,1.70,1.79,5.24,-38.99,605.10
 24.00,1.06,0.34,2.02,83.29,10.34,-5.71,1.08,7.72,1.51,1.63,3.52,-46.04,584.88
 25.00,1.08,0.96,2.03,87.95,10.77,-6.09,1.17,7.74,1.52,1.43,-0.06,-38.33,79.35
