Iteration,IMUNo,OrientationX (deg),OrientationY,OrientationZ,GyroX (20rad/sec),GyroY,GyroZ,Elbow_Pos (rad),Time (sec)
87.00,0.00,213.75,3.88,-96.75,0.25,-0.69,0.06,0.00,1.02
87.00,1.00,227.75,-3.25,-61.56,-0.12,0.31,-0.06,0.00,1.02
87.00,2.00,94.38,-26.31,0.00,0.19,-0.19,0.19,0.00,1.02
87.00,0.00,213.75,3.88,-96.75,0.31,0.06,0.44,0.03,1.04
87.00,1.00,227.75,-3.25,-61.56,-0.12,0.44,0.19,0.03,1.04
87.00,2.00,94.38,-26.31,0.00,-0.38,-0.25,0.44,0.03,1.04
87.00,0.00,213.75,3.88,-96.75,-0.69,1.19,0.12,0.04,1.06
87.00,1.00,227.75,-3.25,-61.56,-0.44,0.31,0.56,0.04,1.06
87.00,2.00,94.38,-26.31,0.00,-1.00,-0.19,0.00,0.04,1.06
87.00,0.00,213.75,3.88,-96.69,-0.75,0.94,-0.25,0.03,1.08
87.00,1.00,227.75,-3.25,-61.56,0.44,0.25,0.25,0.03,1.08
87.00,2.00,94.31,-26.31,0.00,-0.44,0.19,0.12,0.03,1.08
87.00,0.00,213.75,3.88,-96.69,0.12,-0.12,0.31,0.04,1.10
87.00,1.00,227.75,-3.25,-61.50,-1.06,0.19,0.00,0.04,1.10
87.00,2.00,94.31,-26.31,0.00,-0.38,-0.56,0.25,0.04,1.10
87.00,0.00,213.69,3.88,-96.69,0.19,0.50,0.75,0.06,1.12
87.00,1.00,227.75,-3.25,-61.50,0.38,0.56,-0.12,0.06,1.12
87.00,2.00,94.31,-26.31,0.00,-0.50,-0.31,-0.31,0.06,1.12
87.00,0.00,213.75,3.88,-96.69,-1.00,0.44,0.19,0.06,1.14
87.00,1.00,227.75,-3.25,-61.50,-1.25,0.31,-0.25,0.06,1.14
87.00,2.00,94.38,-26.31,0.06,-0.81,0.12,-1.06,0.06,1.14
87.00,0.00,213.75,3.88,-96.69,-0.62,-0.56,-0.19,0.06,1.16
87.00,1.00,227.75,-3.25,-61.50,-0.50,0.00,0.31,0.06,1.16
87.00,2.00,94.38,-26.31,0.06,-0.81,-0.44,-0.50,0.06,1.16
87.00,0.00,213.75,3.88,-96.69,0.00,-1.12,0.44,0.06,1.18
87.00,1.00,227.75,-3.25,-61.50,0.00,-0.31,0.12,0.06,1.18
87.00,2.00,94.38,-26.31,0.06,0.12,-0.38,-0.25,0.06,1.18
87.00,0.00,213.75,3.88,-96.69,-0.31,0.50,0.62,0.04,1.20
87.00,1.00,227.75,-3.25,-61.50,-0.38,-0.50,0.06,0.04,1.20
87.00,2.00,94.38,-26.31,0.06,0.19,0.12,-0.56,0.04,1.20
87.00,0.00,213.69,3.88,-96.69,-0.56,0.88,0.44,0.02,1.22
87.00,1.00,227.75,-3.25,-61.50,0.00,0.00,-0.25,0.02,1.22
87.00,2.00,94.38,-26.31,0.06,0.12,0.50,-0.69,0.02,1.22
87.00,0.00,213.69,3.88,-96.69,0.25,-0.31,0.31,0.01,1.24
87.00,1.00,227.75,-3.25,-61.50,0.06,0.06,-0.38,0.01,1.24
87.00,2.00,94.38,-26.31,0.06,0.50,0.38,-0.12,0.01,1.24
