 Iteration,Theta,Accuracy (cm),Time (sec),Performance,XTrunkComp (cm),YTrunkComp (cm),ZTrunkComp (cm),XShoulerComp (cm),YShoulerComp (cm),ZShoulerComp (cm),FilterOut,du_hat,ddu_hat
 0.00,1.00,2.16,7.23,152.04,16.54,-10.18,2.81,5.54,0.82,-0.27,0.00,0.00,0.00
 1.00,1.00,0.28,5.95,105.69,12.84,-7.98,1.68,6.83,1.27,-0.41,11.90,0.00,0.00
 2.00,1.02,0.32,4.12,143.51,12.25,-11.09,1.53,11.70,4.03,-0.33,19.86,41.79,-2330.04
 3.00,1.02,0.80,3.42,90.53,11.99,-9.75,1.46,6.11,1.01,-0.12,8.65,81.82,-695.39
 4.00,1.04,0.27,3.85,94.53,12.04,-7.12,1.47,6.63,1.20,-0.56,-9.51,38.62,-1577.43
 5.00,1.04,0.44,3.91,110.30,13.47,-10.18,1.85,6.26,1.06,0.52,-20.40,-13.75,313.77
 6.00,1.00,0.29,3.76,113.01,13.52,-8.41,1.86,6.58,1.17,0.00,-10.31,3.24,1540.98
 7.00,0.94,0.26,4.27,90.49,12.78,-10.29,1.66,4.19,0.47,0.46,8.61,-47.12,1713.70
 8.00,0.90,0.42,4.25,101.65,13.05,-9.97,1.73,5.75,0.89,0.23,15.53,-108.43,2247.87
 9.00,0.97,0.43,3.89,81.79,10.98,-10.45,1.22,6.56,1.17,0.19,6.98,-118.75,680.55
 10.00,1.09,0.20,3.00,68.24,9.22,-8.41,0.86,7.18,1.41,-0.46,-6.98,-115.02,883.74
 11.00,1.24,0.37,3.27,55.88,8.63,-7.34,0.75,6.11,1.01,-0.27,-15.30,-140.83,-433.68
 12.00,1.37,0.42,3.86,36.53,6.58,-6.85,0.43,5.46,0.80,-0.17,-11.05,-153.57,-1072.15
 13.00,1.45,0.21,2.76,36.71,6.80,-5.44,0.46,5.22,0.73,0.00,-0.34,-123.56,-526.72
 14.00,1.47,0.39,3.71,41.34,7.39,-4.74,0.55,5.30,0.75,0.23,7.49,-96.87,-648.63
 15.00,1.47,0.29,3.64,33.86,6.36,-4.09,0.41,5.22,0.73,0.06,7.96,-94.12,190.16
 16.00,1.48,0.35,3.48,44.55,8.20,-5.50,0.68,4.68,0.58,0.33,1.22,-81.75,412.03
 17.00,1.51,0.29,3.22,22.76,4.47,-4.25,0.20,5.06,0.69,0.12,-5.28,-52.33,495.34
 18.00,1.55,0.24,3.40,28.01,5.66,-5.99,0.32,4.90,0.64,0.27,-7.04,-36.28,585.34
 19.00,1.64,0.44,3.21,27.70,5.50,-3.11,0.30,5.02,0.67,0.04,-3.70,-36.04,-114.01
 20.00,1.69,0.43,3.59,15.72,3.32,-3.16,0.11,4.52,0.54,0.04,2.72,-20.57,-73.17
 21.00,1.69,0.50,3.13,25.24,4.30,-3.87,0.19,5.65,0.86,-0.06,4.81,-0.61,-485.14
 22.00,1.65,0.41,3.64,28.53,6.31,-3.65,0.40,4.15,0.46,0.58,2.20,6.92,-323.29
 23.00,1.58,0.36,2.78,27.82,4.58,-3.98,0.21,5.89,0.94,0.21,-0.91,10.99,-19.88
 24.00,1.52,0.71,3.11,27.20,4.30,-2.62,0.19,5.99,0.97,-0.21,-2.54,19.06,-16.04
 25.00,1.51,0.38,3.30,29.02,3.38,-4.58,0.11,6.83,1.27,0.12,-1.81,21.51,149.04
 26.00,1.54,0.61,2.91,22.05,2.56,-3.54,0.07,6.13,1.02,-0.29,0.47,20.55,105.02
 27.00,1.59,0.47,3.14,22.24,2.73,-2.89,0.07,6.09,1.00,-0.27,1.59,21.13,130.79
 28.00,1.62,0.47,2.98,25.83,4.03,-3.00,0.16,5.95,0.96,0.06,0.62,18.97,82.89
 29.00,1.61,0.38,3.36,18.31,2.89,-3.87,0.08,5.32,0.76,-0.17,-0.44,14.21,91.74
 30.00,1.56,0.43,2.65,21.20,3.76,-5.23,0.14,5.32,0.76,0.17,-1.26,10.87,40.20
 31.00,1.49,0.93,2.85,35.68,5.88,-3.54,0.35,6.07,1.00,-0.23,-1.22,12.00,-139.31
 32.00,1.44,0.29,3.27,40.30,6.63,-4.90,0.44,6.05,0.99,0.06,1.24,8.96,-120.35
 33.00,1.44,0.46,2.99,31.35,5.33,-4.03,0.29,5.85,0.92,-0.35,3.72,1.17,-411.10
 34.00,1.48,0.40,3.10,49.84,7.39,-4.52,0.55,6.71,1.23,0.21,2.25,4.46,-556.67
 35.00,1.54,0.58,3.15,23.79,4.47,-2.18,0.20,5.26,0.74,0.06,-0.20,-1.93,-423.76
 36.00,1.59,0.53,2.88,18.70,3.38,-3.76,0.11,5.10,0.70,-0.19,-2.69,-7.87,-313.99
 37.00,1.59,0.26,2.73,25.64,5.01,-3.71,0.25,5.12,0.70,-0.12,-4.88,-15.44,305.94
 38.00,1.55,0.36,2.31,28.53,5.44,-4.30,0.30,5.24,0.74,0.23,-2.35,-8.09,646.44
