Iteration,IMUNo,OrientationX (deg),OrientationY,OrientationZ,GyroX (20rad/sec),GyroY,GyroZ,Elbow_Pos (rad),Time (sec)
20.00,0.00,254.62,4.12,-100.75,0.56,0.75,0.81,0.04,0.00
20.00,1.00,288.50,-2.94,-59.81,-1.81,0.12,0.00,0.04,0.00
20.00,2.00,16.62,-25.69,3.88,-0.62,0.12,-0.25,0.04,0.00
20.00,0.00,255.25,4.00,-100.56,0.81,-1.38,0.06,0.05,1.02
20.00,1.00,288.44,-2.94,-59.69,0.12,-0.38,-0.25,0.05,1.02
20.00,2.00,16.81,-26.00,4.12,0.56,0.44,-0.69,0.05,1.02
20.00,0.00,255.31,4.00,-100.56,0.81,-1.00,0.06,0.06,1.04
20.00,1.00,288.44,-2.94,-59.69,-0.19,-0.19,-0.31,0.06,1.04
20.00,2.00,16.81,-26.00,4.12,0.38,0.12,-0.62,0.06,1.04
20.00,0.00,255.31,4.00,-100.56,0.50,-0.31,0.06,0.08,1.06
20.00,1.00,288.44,-2.94,-59.69,0.12,0.00,-0.31,0.08,1.06
20.00,2.00,16.81,-26.00,4.12,0.00,0.50,-0.38,0.08,1.06
20.00,0.00,255.31,4.00,-100.56,0.50,0.00,0.00,0.10,1.08
20.00,1.00,288.44,-2.94,-59.69,0.06,0.06,-0.25,0.10,1.08
20.00,2.00,16.81,-26.00,4.12,0.00,0.75,-0.19,0.10,1.08
20.00,0.00,255.31,4.00,-100.56,0.38,-0.12,-0.12,0.11,1.10
20.00,1.00,288.44,-2.94,-59.69,0.12,0.00,-0.12,0.11,1.10
20.00,2.00,16.81,-26.00,4.12,-0.06,0.69,-0.25,0.11,1.10
20.00,0.00,255.31,4.00,-100.56,0.12,-0.56,-0.06,0.12,1.12
20.00,1.00,288.44,-2.94,-59.69,0.31,-0.19,0.00,0.12,1.12
20.00,2.00,16.81,-26.00,4.12,-0.12,0.38,-0.44,0.12,1.12
20.00,0.00,255.31,4.00,-100.56,0.31,-0.62,0.12,0.13,1.14
20.00,1.00,288.44,-2.94,-59.69,-0.12,0.00,-0.19,0.13,1.14
20.00,2.00,16.81,-26.00,4.12,0.12,0.50,-0.44,0.13,1.14
20.00,0.00,255.31,4.00,-100.56,0.38,-0.56,0.12,0.14,1.16
20.00,1.00,288.44,-2.94,-59.69,-0.31,-0.31,-0.06,0.14,1.16
20.00,2.00,16.81,-26.00,4.12,-0.12,0.12,-0.62,0.14,1.16
20.00,0.00,255.31,4.00,-100.56,0.50,-0.69,0.06,0.17,1.18
20.00,1.00,288.44,-2.94,-59.69,-0.31,0.00,-0.12,0.17,1.18
20.00,2.00,16.81,-26.00,4.12,-0.12,0.25,-0.31,0.17,1.18
20.00,0.00,255.31,4.00,-100.56,0.12,-0.75,-0.06,0.17,1.20
20.00,1.00,288.44,-2.94,-59.69,-0.19,0.06,0.06,0.17,1.20
20.00,2.00,16.81,-26.00,4.12,0.12,0.44,-0.38,0.17,1.20
20.00,0.00,255.38,4.00,-100.56,0.06,-0.69,-0.12,0.17,1.22
20.00,1.00,288.44,-2.94,-59.69,-0.25,-0.19,0.12,0.17,1.22
20.00,2.00,16.81,-26.00,4.12,0.00,0.12,-0.56,0.17,1.22
20.00,0.00,255.38,4.00,-100.56,0.25,-0.19,0.00,0.18,1.24
20.00,1.00,288.44,-2.94,-59.69,-0.25,-0.25,-0.06,0.18,1.24
20.00,2.00,16.81,-26.00,4.12,-0.12,0.44,-0.31,0.18,1.24
20.00,0.00,255.38,4.00,-100.56,0.31,-0.19,0.25,0.20,1.26
20.00,1.00,288.44,-2.94,-59.69,-0.12,0.62,-0.06,0.20,1.26
20.00,2.00,16.81,-26.00,4.12,-0.31,0.19,-0.12,0.20,1.26
20.00,0.00,255.38,4.00,-100.56,0.25,0.19,0.12,0.23,1.28
20.00,1.00,288.44,-2.94,-59.69,-1.19,-0.06,0.06,0.23,1.28
20.00,2.00,16.81,-26.00,4.12,-0.56,0.38,-0.06,0.23,1.28
20.00,0.00,255.38,4.00,-100.56,0.06,0.06,0.00,0.25,1.30
20.00,1.00,288.44,-2.94,-59.69,-0.12,0.38,0.25,0.25,1.30
20.00,2.00,16.81,-26.00,4.12,-0.69,0.38,0.19,0.25,1.30
20.00,0.00,255.38,4.00,-100.56,-0.19,0.31,0.00,0.29,1.32
20.00,1.00,288.44,-2.94,-59.69,-0.50,0.06,0.31,0.29,1.32
20.00,2.00,16.81,-26.00,4.19,-1.38,-0.12,0.12,0.29,1.32
20.00,0.00,255.38,4.00,-100.56,0.19,0.50,0.00,0.34,1.34
20.00,1.00,288.44,-2.94,-59.69,-0.75,0.25,-0.25,0.34,1.34
20.00,2.00,16.81,-26.00,4.19,-1.25,0.00,-0.44,0.34,1.34
20.00,0.00,255.38,4.00,-100.56,0.69,0.06,0.19,0.38,1.36
20.00,1.00,288.44,-2.94,-59.69,-0.94,0.12,-0.44,0.38,1.36
20.00,2.00,16.81,-26.00,4.19,-0.44,0.56,-0.94,0.38,1.36
20.00,0.00,255.38,4.00,-100.56,0.25,-0.44,0.00,0.42,1.38
